flight_date,departure_airport,departure_icao,departure_iata,departure_time,arrival_airport,arrival_icao,arrival_iata,airline_name,airline_icao,flight_number,flight_iata,flight_icao,lat1,long1,lat2,long2
01/01/2022,Chicago O'hare International,KORD,ORD,,Greenbrier Valley,KLWB,LWB,United Airlines,UAL,5163,UA5163,UAL5163,,,,
01/01/2022,Syracuse Hancock International Airport,KSYR,SYR,2022-01-01T18:34:00+00:00,Newark Liberty International,KEWR,EWR,Copa Airlines,CMP,1398,CM1398,CMP1398,,,,
01/01/2022,Metropolitan Oak International,KOAK,OAK,2022-01-01T15:42:00+00:00,Sky Harbor International,KPHX,PHX,Southwest Airlines,SWA,1289,WN1289,SWA1289,,,,
01/01/2022,Metropolitan Oak International,KOAK,OAK,2022-01-01T15:45:00+00:00,Denver International,KDEN,DEN,Southwest Airlines,SWA,3761,WN3761,SWA3761,,,,
01/01/2022,Metropolitan Oak International,KOAK,OAK,2022-01-01T15:40:00+00:00,Portland International,KPDX,PDX,Southwest Airlines,SWA,3015,WN3015,SWA3015,,,,
01/01/2022,Metropolitan Oak International,KOAK,OAK,2022-01-01T16:32:00+00:00,Lihue,PHLI,LIH,Southwest Airlines,SWA,1462,WN1462,SWA1462,,,,
01/01/2022,Metropolitan Oak International,KOAK,OAK,,Williams Gateway,KIWA,AZA,Allegiant Air,AAY,1404,G41404,AAY1404,,,,
01/01/2022,Charlotte Douglas,KCLT,CLT,2022-01-01T16:57:00+00:00,Syracuse Hancock International Airport,KSYR,SYR,American Airlines,AAL,404,AA404,AAL404,,,,
01/01/2022,Mc Carran International,KLAS,LAS,2022-01-01T16:03:00+00:00,Metropolitan Oak International,KOAK,OAK,Southwest Airlines,SWA,261,WN261,SWA261,,,,
01/01/2022,Mc Carran International,KLAS,LAS,2022-01-01T15:01:00+00:00,Metropolitan Oak International,KOAK,OAK,JSX Air,JSX,206,XE206,JSX206,,,,
01/01/2022,Love Field,KDAL,DAL,2022-01-01T13:21:00+00:00,Lubbock Preston Smith International,KLBB,LBB,Southwest Airlines,SWA,8548,WN8548,SWA8548,,,,
01/01/2022,Love Field,KDAL,DAL,2022-01-01T15:48:00+00:00,Gallatin Field,KBZN,BZN,NetJets Aviation,EJA,742,1I742,EJA742,,,,
01/01/2022,Love Field,KDAL,DAL,2022-01-01T16:11:00+00:00,Austin-bergstrom International,KAUS,AUS,JSX Air,JSX,222,XE222,JSX222,,,,
