flight_date,departure_airport,departure_icao,departure_iata,departure_time,arrival_airport,arrival_icao,arrival_iata,airline_name,airline_icao,flight_number,flight_iata,flight_icao,lat1,long1,lat2,long2
01/01/2022,Kansas City International Airport,KMCI,MCI,2022-01-01T16:39:00+00:00,Los Angeles International,KLAX,LAX,Spirit Airlines,NKS,913,NK913,NKS913,,,,
01/01/2022,Kansas City International Airport,KMCI,MCI,2022-01-01T16:40:00+00:00,Hartsfield-jackson Atlanta International,KATL,ATL,Southwest Airlines,SWA,3391,WN3391,SWA3391,,,,
01/01/2022,Salt Lake City International,KSLC,SLC,2022-01-01T12:19:00+00:00,Sonoma County,KSTS,STS,NetJets Aviation,EJA,395,1I395,EJA395,,,,
01/01/2022,San Francisco International,KSFO,SFO,,Sonoma County,KSTS,STS,empty,,,,,,,,
01/01/2022,Cyril E King Airport,TIST,STT,2022-01-01T18:30:00+00:00,Dallas/Fort Worth International,KDFW,DFW,Qatar Airways,QTR,2403,QR2403,QTR2403,,,,
01/01/2022,Cyril E King Airport,TIST,STT,2022-01-01T19:30:00+00:00,Washington Dulles International,KIAD,IAD,United Airlines,UAL,1445,UA1445,UAL1445,,,,
01/01/2022,Cyril E King Airport,TIST,STT,2022-01-01T18:20:00+00:00,Luis Munoz Marin International,TJSJ,SJU,JetBlue Airways,JBU,830,B6830,JBU830,,,,
01/01/2022,Cyril E King Airport,TIST,STT,2022-01-01T17:45:00+00:00,Miami International Airport,KMIA,MIA,Finnair,FIN,4037,AY4037,FIN4037,,,,
01/01/2022,Henry E Rohlsen,TISX,STX,2022-01-01T17:23:00+00:00,Miami International Airport,KMIA,MIA,American Airlines,AAL,1293,AA1293,AAL1293,,,,
01/01/2022,Henry E Rohlsen,TISX,STX,2022-01-01T18:06:00+00:00,Luis Munoz Marin International,TJSJ,SJU,American Airlines,AAL,8217,AA8217,AAL8217,,,,
01/01/2022,Henry E Rohlsen,TISX,STX,2022-01-01T18:02:00+00:00,Fort Lauderdale–Hollywood International,KFLL,FLL,Spirit Airlines,NKS,449,NK449,NKS449,,,,
01/01/2022,Cincinnati/Northern Kentucky,KCVG,CVG,2022-01-01T17:37:00+00:00,Chicago O'hare International,KORD,ORD,United Airlines,UAL,2568,UA2568,UAL2568,,,,
01/01/2022,Cincinnati/Northern Kentucky,KCVG,CVG,2022-01-01T17:04:00+00:00,Newark Liberty International,KEWR,EWR,Air Canada,ACA,4839,AC4839,ACA4839,,,,
01/01/2022,Cincinnati/Northern Kentucky,KCVG,CVG,2022-01-01T17:04:00+00:00,Hartsfield-jackson Atlanta International,KATL,ATL,Air France,AFR,2203,AF2203,AFR2203,,,,
01/01/2022,Cincinnati/Northern Kentucky,KCVG,CVG,2022-01-01T16:41:00+00:00,Minneapolis - St. Paul International,KMSP,MSP,WestJet,WJA,7929,WS7929,WJA7929,,,,
01/01/2022,Cincinnati/Northern Kentucky,KCVG,CVG,2022-01-01T16:51:00+00:00,Baltimore/Washington International Thurgood Marshall,KBWI,BWI,Southwest Airlines,SWA,2700,WN2700,SWA2700,,,,
01/01/2022,Cincinnati/Northern Kentucky,KCVG,CVG,2022-01-01T17:34:00+00:00,Dallas/Fort Worth International,KDFW,DFW,Delta Air Lines,DAL,5538,DL5538,DAL5538,,,,
01/01/2022,Cincinnati/Northern Kentucky,KCVG,CVG,,Eglin AFB,KVPS,VPS,Allegiant Air,AAY,717,G4717,AAY717,,,,
01/01/2022,Cincinnati/Northern Kentucky,KCVG,CVG,2022-01-01T17:13:00+00:00,La Guardia,KLGA,LGA,WestJet,WJA,6638,WS6638,WJA6638,,,,
01/01/2022,Cincinnati/Northern Kentucky,KCVG,CVG,2022-01-01T20:17:00+00:00,George Bush Intercontinental,KIAH,IAH,Air New Zealand,ANZ,6462,NZ6462,ANZ6462,,,,
01/01/2022,Cincinnati/Northern Kentucky,KCVG,CVG,2022-01-01T19:16:00+00:00,Sky Harbor International,KPHX,PHX,Alaska Airlines,ASA,6572,AS6572,ASA6572,,,,
01/01/2022,Cincinnati/Northern Kentucky,KCVG,CVG,,"Jacksonville,",KJAX,JAX,Allegiant Air,AAY,766,G4766,AAY766,,,,
01/01/2022,Sun Valley,KSUN,SUN,,Westchester County Apt,KHPN,HPN,Flexjet,LXJ,520,LXJ520,LXJ520,,,,
01/01/2022,Sun Valley,KSUN,SUN,2022-01-01T14:33:00+00:00,San Francisco International,KSFO,SFO,United Airlines,UAL,4785,UA4785,UAL4785,,,,
01/01/2022,Sun Valley,KSUN,SUN,,San Francisco International,KSFO,SFO,Flexjet,LXJ,371,LXJ371,LXJ371,,,,
01/01/2022,Sun Valley,KSUN,SUN,2022-01-01T15:55:00+00:00,Denver International,KDEN,DEN,United Airlines,UAL,4806,UA4806,UAL4806,,,,
01/01/2022,Sun Valley,KSUN,SUN,,Mineta San Jose International Airport,KSJC,SJC,NetJets Aviation,EJA,637,1I637,EJA637,,,,
01/01/2022,Sun Valley,KSUN,SUN,,Love Field,KDAL,DAL,empty,,,,,,,,
01/01/2022,Mc Carran International,KLAS,LAS,2022-01-01T13:14:00+00:00,Sun Valley,KSUN,SUN,NetJets Aviation,EJA,572,1I572,EJA572,,,,
01/01/2022,John F Kennedy International,KJFK,JFK,2022-01-01T16:36:00+00:00,Louis Armstrong New Orléans International Airport,KMSY,MSY,Delta Air Lines,DAL,2969,DL2969,DAL2969,,,,
01/01/2022,John F Kennedy International,KJFK,JFK,2022-01-01T16:48:00+00:00,Dallas/Fort Worth International,KDFW,DFW,Delta Air Lines,DAL,1036,DL1036,DAL1036,,,,
01/01/2022,John F Kennedy International,KJFK,JFK,2022-01-01T16:40:00+00:00,Miami International Airport,KMIA,MIA,American Airlines,AAL,1901,AA1901,AAL1901,,,,
01/01/2022,John F Kennedy International,KJFK,JFK,2022-01-01T16:44:00+00:00,Orlando International,KMCO,MCO,Delta Air Lines,DAL,1660,DL1660,DAL1660,,,,
01/01/2022,John F Kennedy International,KJFK,JFK,2022-01-01T18:39:00+00:00,Fort Lauderdale–Hollywood International,KFLL,FLL,JetBlue Airways,JBU,1401,B61401,JBU1401,,,,
01/01/2022,John F Kennedy International,KJFK,JFK,2022-01-01T16:49:00+00:00,Greater Rochester International,KROC,ROC,Delta Air Lines,DAL,4975,DL4975,DAL4975,,,,
01/01/2022,John F Kennedy International,KJFK,JFK,2022-01-01T17:20:00+00:00,San Diego International Airport,KSAN,SAN,Alaska Airlines,ASA,393,AS393,ASA393,,,,
01/01/2022,John F Kennedy International,KJFK,JFK,2022-01-01T16:56:00+00:00,Salt Lake City International,KSLC,SLC,Delta Air Lines,DAL,359,DL359,DAL359,,,,
01/01/2022,John F Kennedy International,KJFK,JFK,2022-01-01T17:10:00+00:00,Seattle-Tacoma International,KSEA,SEA,Delta Air Lines,DAL,452,DL452,DAL452,,,,
01/01/2022,John F Kennedy International,KJFK,JFK,2022-01-01T17:05:00+00:00,San Francisco International,KSFO,SFO,Delta Air Lines,DAL,311,DL311,DAL311,,,,
01/01/2022,John F Kennedy International,KJFK,JFK,2022-01-01T17:24:00+00:00,Los Angeles International,KLAX,LAX,American Airlines,AAL,302,AA302,AAL302,,,,
01/01/2022,Central Wisconsin,KCWA,CWA,,Albemarle,KCHO,CHO,United Airlines,UAL,3164,UA3164,UAL3164,,,,
01/01/2022,Sioux Gateway,KSUX,SUX,,Gunnison,KGUC,GUC,empty,,,,,,,,
01/01/2022,Bethel Airport,PABE,BET,2022-01-01T12:43:00+00:00,Ted Stevens Anchorage International Airport,PANC,ANC,Alaska Airlines,ASA,44,AS44,ASA44,,,,
01/01/2022,Gainesville Regional,KGNV,GNV,2022-01-01T17:30:00+00:00,Hartsfield-jackson Atlanta International,KATL,ATL,Delta Air Lines,DAL,5324,DL5324,DAL5324,,,,
01/01/2022,Friday Harbor,KFHR,FRD,,Boeing Field/King County International Airport,KBFI,BFI,Kenmore Air,KEN,6341,M56341,KEN6341,,,,
01/01/2022,Metropolitan Oak International,KOAK,OAK,2022-01-01T13:30:00+00:00,Salt Lake City International,KSLC,SLC,Delta Air Lines,DAL,2051,DL2051,DAL2051,,,,
01/01/2022,Metropolitan Oak International,KOAK,OAK,2022-01-01T16:08:00+00:00,Denver International,KDEN,DEN,Volaris,VOI,2600,Y42600,VOI2600,,,,
01/01/2022,Metropolitan Oak International,KOAK,OAK,2022-01-01T14:08:00+00:00,Ontario International,KONT,ONT,Southwest Airlines,SWA,2879,WN2879,SWA2879,,,,
01/01/2022,Mc Carran International,KLAS,LAS,2022-01-01T11:55:00+00:00,Metropolitan Oak International,KOAK,OAK,Spirit Airlines,NKS,1721,NK1721,NKS1721,,,,
01/01/2022,Mc Carran International,KLAS,LAS,2022-01-01T12:38:00+00:00,Metropolitan Oak International,KOAK,OAK,JSX Air,JSX,1202,XE1202,JSX1202,,,,
01/01/2022,Meadows Field,KBFL,BFL,2022-01-01T15:28:00+00:00,San Francisco International,KSFO,SFO,United Airlines,UAL,4671,UA4671,UAL4671,,,,
01/01/2022,Daytona Beach International Airport,KDAB,DAB,2022-01-01T18:52:00+00:00,Philadelphia International,KPHL,PHL,Qatar Airways,QTR,2299,QR2299,QTR2299,,,,
01/01/2022,Daytona Beach International Airport,KDAB,DAB,,Philadelphia International,KPHL,PHL,Qatar Airways,QTR,2317,QR2317,QTR2317,,,,
01/01/2022,Long Island Mac Arthur,KISP,ISP,2022-01-01T17:13:00+00:00,Baltimore/Washington International Thurgood Marshall,KBWI,BWI,Southwest Airlines,SWA,1854,WN1854,SWA1854,,,,
01/01/2022,Orlando International,KMCO,MCO,,Long Island Mac Arthur,KISP,ISP,Frontier Airlines,FFT,1096,F91096,FFT1096,,,,
01/01/2022,Hilo International,PHTO,ITO,2022-01-01T11:49:00+00:00,Honolulu International,PHNL,HNL,American Airlines,AAL,7905,AA7905,AAL7905,,,,
01/01/2022,Jackson Hole,KJAC,JAC,2022-01-01T15:23:00+00:00,Hartsfield-jackson Atlanta International,KATL,ATL,Air France,AFR,2625,AF2625,AFR2625,,,,
01/01/2022,Jackson Hole,KJAC,JAC,,Denver International,KDEN,DEN,Lufthansa,DLH,9137,LH9137,DLH9137,,,,
01/01/2022,Jackson Hole,KJAC,JAC,2022-01-01T16:05:00+00:00,San Francisco International,KSFO,SFO,United Airlines,UAL,4670,UA4670,UAL4670,,,,
01/01/2022,Jackson Hole,KJAC,JAC,2022-01-01T13:18:00+00:00,Los Angeles International,KLAX,LAX,Aeromexico,AMX,3789,AM3789,AMX3789,,,,
01/01/2022,Jackson Hole,KJAC,JAC,2022-01-01T15:11:00+00:00,John F Kennedy International,KJFK,JFK,JetBlue Airways,JBU,4401,B64401,JBU4401,,,,
01/01/2022,Jackson Hole,KJAC,JAC,2022-01-01T15:26:00+00:00,Seattle-Tacoma International,KSEA,SEA,Alaska Airlines,ASA,3451,AS3451,ASA3451,,,,
01/01/2022,Dallas/Fort Worth International,KDFW,DFW,2022-01-01T12:30:00+00:00,Jackson Hole,KJAC,JAC,British Airways,BAW,2444,BA2444,BAW2444,,,,
01/01/2022,Dallas/Fort Worth International,KDFW,DFW,2022-01-01T13:21:00+00:00,Jackson Hole,KJAC,JAC,British Airways,BAW,2384,BA2384,BAW2384,,,,
01/01/2022,Eglin AFB,KVPS,VPS,2022-01-01T16:28:00+00:00,Dallas/Fort Worth International,KDFW,DFW,British Airways,BAW,4425,BA4425,BAW4425,,,,
01/01/2022,Eglin AFB,KVPS,VPS,,Hartsfield-jackson Atlanta International,KATL,ATL,Air France,AFR,2125,AF2125,AFR2125,,,,
01/01/2022,Eglin AFB,KVPS,VPS,2022-01-01T16:06:00+00:00,Hartsfield-jackson Atlanta International,KATL,ATL,Delta Air Lines,DAL,5248,DL5248,DAL5248,,,,
01/01/2022,Dallas/Fort Worth International,KDFW,DFW,2022-01-01T17:25:00+00:00,Eglin AFB,KVPS,VPS,Qatar Airways,QTR,9187,QR9187,QTR9187,,,,
01/01/2022,Dallas/Fort Worth International,KDFW,DFW,2022-01-01T13:53:00+00:00,Eglin AFB,KVPS,VPS,American Airlines,AAL,4199,AA4199,AAL4199,,,,
01/01/2022,Indianapolis International,KIND,IND,2022-01-01T17:09:00+00:00,Sarasota/Bradenton International,KSRQ,SRQ,Southwest Airlines,SWA,487,WN487,SWA487,,,,
01/01/2022,Indianapolis International,KIND,IND,2022-01-01T16:40:00+00:00,Ronald Reagan Washington National Airport,KDCA,DCA,American Airlines,AAL,4502,AA4502,AAL4502,,,,
01/01/2022,Indianapolis International,KIND,IND,2022-01-01T17:23:00+00:00,Minneapolis - St. Paul International,KMSP,MSP,Delta Air Lines,DAL,4083,DL4083,DAL4083,,,,
01/01/2022,Indianapolis International,KIND,IND,,Hartsfield-jackson Atlanta International,KATL,ATL,Southwest Airlines,SWA,3097,WN3097,SWA3097,,,,
01/01/2022,Indianapolis International,KIND,IND,2022-01-01T18:54:00+00:00,George Bush Intercontinental,KIAH,IAH,Air New Zealand,ANZ,6662,NZ6662,ANZ6662,,,,
01/01/2022,Indianapolis International,KIND,IND,2022-01-01T16:54:00+00:00,Orlando International,KMCO,MCO,Southwest Airlines,SWA,1223,WN1223,SWA1223,,,,
01/01/2022,Indianapolis International,KIND,IND,2022-01-01T18:22:00+00:00,Philadelphia International,KPHL,PHL,Qatar Airways,QTR,7803,QR7803,QTR7803,,,,
01/01/2022,Indianapolis International,KIND,IND,2022-01-01T17:06:00+00:00,Logan International,KBOS,BOS,Delta Air Lines,DAL,5602,DL5602,DAL5602,,,,
01/01/2022,Detroit Metropolitan Wayne County,KDTW,DTW,2022-01-01T17:07:00+00:00,Indianapolis International,KIND,IND,Delta Air Lines,DAL,5541,DL5541,DAL5541,,,,
01/01/2022,Falls International,KINL,INL,2022-01-01T15:31:00+00:00,Minneapolis - St. Paul International,KMSP,MSP,Delta Air Lines,DAL,4284,DL4284,DAL4284,,,,
01/01/2022,Portland International,KPDX,PDX,2022-01-01T14:40:00+00:00,Dallas/Fort Worth International,KDFW,DFW,British Airways,BAW,4401,BA4401,BAW4401,,,,
01/01/2022,Chicago O'hare International,KORD,ORD,,Rochester International Airport,KRST,RST,British Airways,BAW,1785,BA1785,BAW1785,,,,
01/01/2022,Bob Hope,KBUR,BUR,2022-01-01T13:59:00+00:00,Dallas/Fort Worth International,KDFW,DFW,British Airways,BAW,5026,BA5026,BAW5026,,,,
01/01/2022,Bob Hope,KBUR,BUR,2022-01-01T13:35:00+00:00,Mc Carran International,KLAS,LAS,JSX Air,JSX,107,XE107,JSX107,,,,
01/01/2022,Bob Hope,KBUR,BUR,2022-01-01T13:40:00+00:00,Salt Lake City International,KSLC,SLC,Delta Air Lines,DAL,4076,DL4076,DAL4076,,,,
01/01/2022,Bob Hope,KBUR,BUR,2022-01-01T14:03:00+00:00,Sky Harbor International,KPHX,PHX,Southwest Airlines,SWA,1972,WN1972,SWA1972,,,,
01/01/2022,Bob Hope,KBUR,BUR,2022-01-01T14:16:00+00:00,Seattle-Tacoma International,KSEA,SEA,Alaska Airlines,ASA,1411,AS1411,ASA1411,,,,
01/01/2022,Bob Hope,KBUR,BUR,2022-01-01T14:18:00+00:00,San Francisco International,KSFO,SFO,Air Canada,ACA,4395,AC4395,ACA4395,,,,
01/01/2022,Bob Hope,KBUR,BUR,2022-01-01T14:23:00+00:00,Nashville International,KBNA,BNA,Southwest Airlines,SWA,1211,WN1211,SWA1211,,,,
01/01/2022,Hartsfield-jackson Atlanta International,KATL,ATL,2022-01-01T21:20:00+00:00,Tallahassee Regional Airport,KTLH,TLH,KLM,KLM,5383,KL5383,KLM5383,,,,
01/01/2022,Pittsburgh International,KPIT,PIT,,La Guardia,KLGA,LGA,Republic Airways,RPA,109,YX109,RPA109,,,,
01/01/2022,Miami International Airport,KMIA,MIA,2022-01-01T14:01:00+00:00,Dallas/Fort Worth International,KDFW,DFW,Alaska Airlines,ASA,4422,AS4422,ASA4422,,,,
01/01/2022,Detroit Metropolitan Wayne County,KDTW,DTW,2022-01-01T13:33:00+00:00,Orlando International,KMCO,MCO,Spirit Airlines,NKS,117,NK117,NKS117,,,,
01/01/2022,Detroit Metropolitan Wayne County,KDTW,DTW,2022-01-01T13:46:00+00:00,Charlotte Douglas,KCLT,CLT,American Airlines,AAL,5307,AA5307,AAL5307,,,,
01/01/2022,Detroit Metropolitan Wayne County,KDTW,DTW,2022-01-01T14:27:00+00:00,Seattle-Tacoma International,KSEA,SEA,Delta Air Lines,DAL,8862,DL8862,DAL8862,,,,
01/01/2022,Long Island Mac Arthur,KISP,ISP,2022-01-01T14:32:00+00:00,Lehigh Valley International,KABE,ABE,empty,,,,,,,,
01/01/2022,Hilton Head,KHXD,HHH,,Cincinnati/Northern Kentucky,KCVG,CVG,empty,,,,,,,,
01/01/2022,Hilton Head,KHXD,HHH,2022-01-01T11:50:00+00:00,Raleigh-durham International Airport,KRDU,RDU,empty,,,,,,,,
01/01/2022,Hilton Head,KHXD,HHH,,Westchester County Apt,KHPN,HPN,PlaneSense,CNS,1025,,CNS1025,,,,
01/01/2022,Ryan,KBTR,BTR,2022-01-01T16:10:00+00:00,Hartsfield-jackson Atlanta International,KATL,ATL,Air France,AFR,2097,AF2097,AFR2097,,,,
01/01/2022,Orlando International,KMCO,MCO,2022-01-01T16:26:00+00:00,Logan International,KBOS,BOS,JetBlue Airways,JBU,1652,B61652,JBU1652,,,,
01/01/2022,Orlando International,KMCO,MCO,2022-01-01T17:19:00+00:00,Austin-bergstrom International,KAUS,AUS,Southwest Airlines,SWA,1372,WN1372,SWA1372,,,,
01/01/2022,Orlando International,KMCO,MCO,2022-01-01T16:29:00+00:00,Philadelphia International,KPHL,PHL,Southwest Airlines,SWA,2690,WN2690,SWA2690,,,,
01/01/2022,Orlando International,KMCO,MCO,2022-01-01T16:44:00+00:00,Will Rogers World Airport,KOKC,OKC,Southwest Airlines,SWA,3471,WN3471,SWA3471,,,,
01/01/2022,Orlando International,KMCO,MCO,2022-01-01T16:37:00+00:00,Love Field,KDAL,DAL,Southwest Airlines,SWA,647,WN647,SWA647,,,,
01/01/2022,Orlando International,KMCO,MCO,,Nashville International,KBNA,BNA,Southwest Airlines,SWA,2686,WN2686,SWA2686,,,,
01/01/2022,Orlando International,KMCO,MCO,2022-01-01T18:50:00+00:00,Minneapolis - St. Paul International,KMSP,MSP,Delta Air Lines,DAL,2144,DL2144,DAL2144,,,,
01/01/2022,Orlando International,KMCO,MCO,2022-01-01T19:45:00+00:00,Newark Liberty International,KEWR,EWR,JetBlue Airways,JBU,428,B6428,JBU428,,,,
01/01/2022,Orlando International,KMCO,MCO,2022-01-01T17:01:00+00:00,Pittsburgh International,KPIT,PIT,Spirit Airlines,NKS,87,NK87,NKS87,,,,
01/01/2022,Orlando International,KMCO,MCO,,Greater Rochester International,KROC,ROC,Frontier Airlines,FFT,1290,F91290,FFT1290,,,,
01/01/2022,Orlando International,KMCO,MCO,2022-01-01T17:22:00+00:00,Louis Armstrong New Orléans International Airport,KMSY,MSY,Spirit Airlines,NKS,621,NK621,NKS621,,,,
01/01/2022,Orlando International,KMCO,MCO,2022-01-01T17:06:00+00:00,George Bush Intercontinental,KIAH,IAH,Southwest Airlines,SWA,1801,WN1801,SWA1801,,,,
01/01/2022,Orlando International,KMCO,MCO,2022-01-01T16:50:00+00:00,Sky Harbor International,KPHX,PHX,Southwest Airlines,SWA,2399,WN2399,SWA2399,,,,
01/01/2022,Orlando International,KMCO,MCO,2022-01-01T18:44:00+00:00,Albany International,KALB,ALB,Frontier Airlines,FFT,1006,F91006,FFT1006,,,,
01/01/2022,Orlando International,KMCO,MCO,2022-01-01T16:54:00+00:00,Luis Munoz Marin International,TJSJ,SJU,Spirit Airlines,NKS,1263,NK1263,NKS1263,,,,
01/01/2022,Orlando International,KMCO,MCO,2022-01-01T17:50:00+00:00,Chicago O'hare International,KORD,ORD,United Airlines,UAL,1828,UA1828,UAL1828,,,,
01/01/2022,Orlando International,KMCO,MCO,2022-01-01T16:51:00+00:00,Port Columbus International,KCMH,CMH,Southwest Airlines,SWA,1745,WN1745,SWA1745,,,,
01/01/2022,Orlando International,KMCO,MCO,2022-01-01T18:12:00+00:00,Louisville International (Standiford Field),KSDF,SDF,Southwest Airlines,SWA,2969,WN2969,SWA2969,,,,
01/01/2022,Orlando International,KMCO,MCO,2022-01-01T18:01:00+00:00,Ronald Reagan Washington National Airport,KDCA,DCA,JetBlue Airways,JBU,2424,B62424,JBU2424,,,,
01/01/2022,Orlando International,KMCO,MCO,2022-01-01T17:05:00+00:00,Sky Harbor International,KPHX,PHX,American Airlines,AAL,2226,AA2226,AAL2226,,,,
01/01/2022,Orlando International,KMCO,MCO,,San Diego International Airport,KSAN,SAN,Alaska Airlines,ASA,463,AS463,ASA463,,,,
01/01/2022,Orlando International,KMCO,MCO,2022-01-01T17:25:00+00:00,Hartsfield-jackson Atlanta International,KATL,ATL,Delta Air Lines,DAL,2783,DL2783,DAL2783,,,,
01/01/2022,Orlando International,KMCO,MCO,2022-01-01T19:15:00+00:00,La Guardia,KLGA,LGA,Delta Air Lines,DAL,2932,DL2932,DAL2932,,,,
01/01/2022,Orlando International,KMCO,MCO,2022-01-01T17:36:00+00:00,Baltimore/Washington International Thurgood Marshall,KBWI,BWI,Southwest Airlines,SWA,3533,WN3533,SWA3533,,,,
01/01/2022,Orlando International,KMCO,MCO,,Syracuse Hancock International Airport,KSYR,SYR,Frontier Airlines,FFT,1214,F91214,FFT1214,,,,
01/01/2022,Orlando International,KMCO,MCO,2022-01-01T17:14:00+00:00,Raleigh-durham International Airport,KRDU,RDU,Southwest Airlines,SWA,3046,WN3046,SWA3046,,,,
01/01/2022,Orlando International,KMCO,MCO,2022-01-01T17:40:00+00:00,San Antonio International,KSAT,SAT,Frontier Airlines,FFT,1199,F91199,FFT1199,,,,
01/01/2022,Dallas/Fort Worth International,KDFW,DFW,2022-01-01T14:05:00+00:00,Orlando International,KMCO,MCO,American Airlines,AAL,398,AA398,AAL398,,,,
01/01/2022,Charlotte Douglas,KCLT,CLT,2022-01-01T15:34:00+00:00,Orlando International,KMCO,MCO,American Airlines,AAL,1280,AA1280,AAL1280,,,,
01/01/2022,Central Illinois Regional Airport at Bloomington-Normal,KBMI,BMI,2022-01-01T17:27:00+00:00,Dallas/Fort Worth International,KDFW,DFW,Qatar Airways,QTR,9452,QR9452,QTR9452,,,,
01/01/2022,Central Illinois Regional Airport at Bloomington-Normal,KBMI,BMI,,Hartsfield-jackson Atlanta International,KATL,ATL,Air France,AFR,2735,AF2735,AFR2735,,,,
01/01/2022,Central Illinois Regional Airport at Bloomington-Normal,KBMI,BMI,2022-01-01T16:12:00+00:00,Hartsfield-jackson Atlanta International,KATL,ATL,Delta Air Lines,DAL,5388,DL5388,DAL5388,,,,
01/01/2022,Charlotte Douglas,KCLT,CLT,2022-01-01T15:10:00+00:00,Harrisburg International,KMDT,MDT,American Airlines,AAL,5241,AA5241,AAL5241,,,,
01/01/2022,Philadelphia International,KPHL,PHL,2022-01-01T16:10:00+00:00,Harrisburg International,KMDT,MDT,American Airlines,AAL,6171,AA6171,AAL6171,,,,
01/01/2022,Municipal,PADL,DLG,,Bethel Airport,PABE,BET,Grant Aviation,GUN,2320,GV2320,GUN2320,,,,
01/01/2022,Eugene,KEUG,EUG,2022-01-01T14:08:00+00:00,Salt Lake City International,KSLC,SLC,Delta Air Lines,DAL,4613,DL4613,DAL4613,,,,
01/01/2022,Ontario International,KONT,ONT,,Denver International,KDEN,DEN,Air Canada,ACA,5708,AC5708,ACA5708,,,,
01/01/2022,Ontario International,KONT,ONT,2022-01-01T13:26:00+00:00,Salt Lake City International,KSLC,SLC,Delta Air Lines,DAL,2256,DL2256,DAL2256,,,,
01/01/2022,Ontario International,KONT,ONT,2022-01-01T14:02:00+00:00,Sky Harbor International,KPHX,PHX,Southwest Airlines,SWA,2481,WN2481,SWA2481,,,,
01/01/2022,Ontario International,KONT,ONT,2022-01-01T14:03:00+00:00,Mc Carran International,KLAS,LAS,Southwest Airlines,SWA,3230,WN3230,SWA3230,,,,
01/01/2022,Mc Carran International,KLAS,LAS,2022-01-01T12:43:00+00:00,Ontario International,KONT,ONT,Southwest Airlines,SWA,3229,WN3229,SWA3229,,,,
01/01/2022,Dallas/Fort Worth International,KDFW,DFW,2022-01-01T13:03:00+00:00,Ontario International,KONT,ONT,British Airways,BAW,4586,BA4586,BAW4586,,,,
01/01/2022,Long Beach Municipal,KLGB,LGB,2022-01-01T15:10:00+00:00,Lambert-St. Louis International,KSTL,STL,Southwest Airlines,SWA,2975,WN2975,SWA2975,,,,
01/01/2022,Norfolk International Airport,KORF,ORF,,Hartsfield-jackson Atlanta International,KATL,ATL,Air France,AFR,2477,AF2477,AFR2477,,,,
01/01/2022,Norfolk International Airport,KORF,ORF,2022-01-01T17:15:00+00:00,Dallas/Fort Worth International,KDFW,DFW,Alaska Airlines,ASA,6567,AS6567,ASA6567,,,,
01/01/2022,Burlington International,KBTV,BTV,2022-01-01T10:11:00+00:00,Norfolk International Airport,KORF,ORF,Private owner,,68,,,,,,
01/01/2022,Pittsburgh International,KPIT,PIT,2022-01-01T20:21:00+00:00,Newark Liberty International,KEWR,EWR,United Airlines,UAL,3520,UA3520,UAL3520,,,,
01/01/2022,Birmingham,KBHM,BHM,2022-01-01T15:26:00+00:00,Orlando International,KMCO,MCO,Southwest Airlines,SWA,3154,WN3154,SWA3154,,,,
01/01/2022,Birmingham,KBHM,BHM,2022-01-01T17:12:00+00:00,Philadelphia International,KPHL,PHL,Qatar Airways,QTR,9440,QR9440,QTR9440,,,,
01/01/2022,Birmingham,KBHM,BHM,,Hartsfield-jackson Atlanta International,KATL,ATL,Air France,AFR,2742,AF2742,AFR2742,,,,
01/01/2022,Birmingham,KBHM,BHM,2022-01-01T16:30:00+00:00,Hartsfield-jackson Atlanta International,KATL,ATL,Delta Air Lines,DAL,1356,DL1356,DAL1356,,,,
01/01/2022,Gunnison,KGUC,GUC,,Birmingham,KBHM,BHM,Gama Aviation,GAJ,874,,GAJ874,,,,
01/01/2022,Charlotte Douglas,KCLT,CLT,2022-01-01T16:23:00+00:00,Birmingham,KBHM,BHM,American Airlines,AAL,5436,AA5436,AAL5436,,,,
01/01/2022,Preston-glenn Field,KLYH,LYH,2022-01-01T16:33:00+00:00,Charlotte Douglas,KCLT,CLT,American Airlines,AAL,6183,AA6183,AAL6183,,,,
01/01/2022,Mc Ghee Tyson,KTYS,TYS,2022-01-01T12:11:00+00:00,Louis Armstrong New Orléans International Airport,KMSY,MSY,NetJets Aviation,EJA,444,1I444,EJA444,,,,
01/01/2022,Love Field,KDAL,DAL,,Louis Armstrong New Orléans International Airport,KMSY,MSY,empty,,,,,,,,
01/01/2022,Love Field,KDAL,DAL,,Philadelphia International,KPHL,PHL,empty,,,,,,,,
01/01/2022,Love Field,KDAL,DAL,,Seattle-Tacoma International,KSEA,SEA,Southwest Airlines,SWA,664,WN664,SWA664,,,,
01/01/2022,Love Field,KDAL,DAL,2022-01-01T17:25:00+00:00,Albuquerque International,KABQ,ABQ,Southwest Airlines,SWA,1396,WN1396,SWA1396,,,,
01/01/2022,Love Field,KDAL,DAL,2022-01-01T15:46:00+00:00,Denver International,KDEN,DEN,Southwest Airlines,SWA,3094,WN3094,SWA3094,,,,
01/01/2022,Love Field,KDAL,DAL,2022-01-01T16:06:00+00:00,George Bush Intercontinental,KIAH,IAH,Southwest Airlines,SWA,2215,WN2215,SWA2215,,,,
01/01/2022,Love Field,KDAL,DAL,,El Paso International Airport,KELP,ELP,Southwest Airlines,SWA,3346,WN3346,SWA3346,,,,
01/01/2022,Love Field,KDAL,DAL,2022-01-01T16:02:00+00:00,Fort Lauderdale–Hollywood International,KFLL,FLL,Southwest Airlines,SWA,990,WN990,SWA990,,,,
