index,flight_date,departure_airport,departure_icao,departure_iata,departure_time,arrival_airport,arrival_icao,arrival_iata,airline_name,airline_icao,flight_number,flight_iata,flight_icao,lat1,long1,lat2,long2
69,01/01/2022,Austin-bergstrom International,KAUS,AUS,2022-01-01T14:14:00+00:00,Palm Springs Metropolitan Area,KPSP,PSP,American Airlines,AAL,7637,AA7637,AAL7637,30.1974711,-97.6663529,33.8303194,-116.5070468
70,01/01/2022,Austin-bergstrom International,KAUS,AUS,2022-01-01T14:31:00+00:00,Denver International,KDEN,DEN,Southwest Airlines,SWA,3557,WN3557,SWA3557,30.1974711,-97.6663529,39.8560963,-104.6737376
71,01/01/2022,Buchanan Field,KCCR,CCR,,Austin-bergstrom International,KAUS,AUS,NetJets Aviation,EJA,585,1I585,EJA585,37.9884288,-122.0577838,30.1974711,-97.6663529
72,01/01/2022,Kahului,PHOG,OGG,2022-01-01T10:55:00+00:00,Honolulu International,PHNL,HNL,Jet Linx Aviation,JTL,6459,JL6459,JTL6459,20.894598,-156.4360744,21.3186477,-157.9253031
73,01/01/2022,Kahului,PHOG,OGG,2022-01-01T11:05:00+00:00,Lihue,PHLI,LIH,United Airlines,UAL,7895,UA7895,UAL7895,20.894598,-156.4360744,21.9788489,-159.3437585
74,01/01/2022,Adams Field Airport,KLIT,LIT,2022-01-01T14:47:00+00:00,Dallas/Fort Worth International,KDFW,DFW,Alaska Airlines,ASA,4044,AS4044,ASA4044,34.7307049,-92.2216531,32.8998091,-97.0403352
75,01/01/2022,Adams Field Airport,KLIT,LIT,2022-01-01T14:59:00+00:00,Hartsfield-jackson Atlanta International,KATL,ATL,Southwest Airlines,SWA,2800,WN2800,SWA2800,34.7307049,-92.2216531,33.6407282,-84.4277001
76,01/01/2022,Dallas/Fort Worth International,KDFW,DFW,2022-01-01T13:01:00+00:00,Asheville Regional Airport,KAVL,AVL,Qatar Airways,QTR,7725,QR7725,QTR7725,32.8998091,-97.0403352,35.4348962,-82.5378541
77,01/01/2022,Detroit Metropolitan Wayne County,KDTW,DTW,2022-01-01T14:09:00+00:00,Alpena County Regional,KAPN,APN,Delta Air Lines,DAL,4252,DL4252,DAL4252,42.2162491,-83.3553642,45.0703163,-83.5665893
78,01/01/2022,Dallas/Fort Worth International,KDFW,DFW,2022-01-01T14:17:00+00:00,Capital,KSPI,SPI,Qatar Airways,QTR,7814,QR7814,QTR7814,32.8998091,-97.0403352,39.8439165,-89.6783951
