,city,state_id,latitude,longitude,population,airport,distance
267,Corona,CA,33.8616,-117.5649,169868,,
268,Ocala,FL,29.178,-82.1511,169383,,
269,Fredericksburg,VA,38.2992,-77.4872,168909,,
270,Gainesville,GA,34.2903,-83.8301,167371,,
271,Manchester,NH,42.9848,-71.4447,162877,MHT,0.055922775166204745
272,Bayamón,PR,18.3793,-66.1635,161034,,
273,Champaign,IL,40.1144,-88.2735,159443,CMI,0.07848236808895437
274,Alexandria,VA,38.8185,-77.0861,159428,DCA,0.05635563730674771
275,Hayward,CA,37.6328,-122.0772,159203,,
276,Springfield,IL,39.771,-89.6538,158509,SPI,0.07695280967099039
277,Lakewood,CO,39.6977,-105.1168,157935,,
278,Lafayette,IN,40.399,-86.8594,157820,,
279,Frederick,MD,39.4336,-77.4141,156787,,
280,Lake Charles,LA,30.2012,-93.2122,156181,,
281,Odessa,TX,31.8831,-102.3406,155998,,
282,Tuscaloosa,AL,33.2348,-87.5267,155499,,
283,Warner Robins,GA,32.597,-83.6529,155140,,
284,Palmdale,CA,34.5944,-118.1057,155079,,
285,Hollywood,FL,26.0294,-80.1679,154817,,
286,Midland,TX,32.0249,-102.1137,154793,MAF,0.123312068833712
287,Leesburg,FL,28.7657,-81.8996,154574,,
288,Port Arthur,TX,29.8554,-93.9264,154468,,
289,Muskegon,MI,43.2281,-86.2563,153565,,
290,Macon,GA,32.8065,-83.6974,153159,,
291,Kansas City,KS,39.1234,-94.7443,152960,,
292,Sunnyvale,CA,37.3836,-122.0256,152703,,
293,Pomona,CA,34.0585,-117.7626,151691,,
294,Escondido,CA,33.1347,-117.0722,151625,,
295,Pasadena,TX,29.6583,-95.1499,151227,,
296,New Bedford,MA,41.6697,-70.9428,149910,,
297,Fairfield,CA,38.2592,-122.0324,148683,,
298,Naperville,IL,41.7483,-88.1657,148449,,
299,Bellevue,WA,47.5951,-122.1535,148164,,
300,Binghamton,NY,42.1014,-75.9093,148145,,
301,Elkhart,IN,41.6916,-85.9628,147567,,
302,Topeka,KS,39.0346,-95.6955,147458,,
