city,state_id,latitude,longitude,population,station,distance
Hickam Housing,HI,21.3311,-157.9474,9387,USC00511925,0.017762883
Flowood,MS,32.3359,-90.0802,9380,USW00003940,0.016261082
Boonville,MO,38.9588,-92.7471,9362,USC00230824,0.0085
Brownfield,TX,33.1757,-102.273,9358,USC00411128,0.015916045
Bay Minette,AL,30.893,-87.7912,9354,USC00010583,0.010816654
Saline,MI,42.1741,-83.778,9343,USC00207312,0.065619052
Madras,OR,44.6425,-121.1315,9340,USC00355139,0.133045331
Clinton,NC,35.0005,-78.3311,9334,USC00311881,0.060333957
Lenoir City,TN,35.811,-84.2818,9324,USC00405158,0.030600817
Waihee-Waiehu,HI,20.9188,-156.5063,9319,USC00519275,0.004386342
College Place,WA,46.0419,-118.3879,9317,USC00459200,0.07491929
Lexington,VA,37.7825,-79.444,9264,USC00444876,0.007993122
Cloverdale,CA,38.7961,-123.0151,9205,USC00041838,0.011631836
Lynwood,IL,41.5234,-87.5508,9194,USC00114890,0.020930361
St. Marys,OH,40.5475,-84.3931,9180,USC00337383,0.044376232
Fairview,TN,35.9815,-87.1291,9146,USC00402989,0.014565583
Anaconda,MT,46.0607,-113.0679,9140,USC00249082,0.268498808
Murrells Inlet,SC,33.5566,-79.0593,9137,USC00381093,0.051944971
Grosse Pointe Farms,MI,42.4067,-82.8992,9114,USC00203477,0.010149384
Atmore,AL,31.0927,-87.4763,9107,USC00010402,0.09677696
Plymouth,WI,43.7447,-87.9657,9097,USC00476678,0.015806834
Monmouth,IL,40.9141,-90.6423,9084,USC00115768,0.030490654
Highland Park,TX,32.8311,-96.8012,9083,USW00013960,0.035388995
Sutherlin,OR,43.3884,-123.3231,9067,USC00358260,0.037628634
Seaside,OR,45.9889,-123.9214,9060,USC00357641,0.002973214
Livingston,MT,45.6666,-110.5538,9050,USW00024150,0.116663491
Chanute,KS,37.6695,-95.4621,9042,USC00141428,0.083765029
Brewer,ME,44.7835,-68.7352,9035,USC00171867,0.144428284
Presque Isle,ME,46.6868,-67.9874,9007,USW00014609,0.600703334
Delta,CO,38.756,-108.0772,8995,USC00052196,0.049548865
Haiku-Pauwela,HI,20.9156,-156.3022,8987,USC00512679,0.092952999
Waseca,MN,44.0826,-93.5025,8984,USC00218692,0.026698689
Murphysboro,IL,37.7679,-89.3321,8976,USC00115983,0.034146303
Chester,SC,34.705,-81.2132,8967,USC00381633,0.026957954
Clinton,MO,38.3716,-93.7679,8945,USC00231711,0.02361779
Sturgeon Bay,WI,44.8228,-87.366,8934,USC00478267,0.064603857
Harrisburg,IL,37.7373,-88.5457,8933,USC00113879,0.021585643
Independence,KS,37.2118,-95.7328,8931,USC00143954,0.04078002
Boonton,NJ,40.9047,-74.4048,8919,USC00280907,0.015471396
Innsbrook,VA,37.6552,-77.5775,8888,USC00447998,0.008771648
Evergreen,CO,39.6349,-105.3356,8885,USC00052790,0.020782072
Kodiak,AK,57.7934,-152.406,8851,USC00505884,0.071950608
Rhinelander,WI,45.6361,-89.4256,8830,USC00477118,0.020894258
Ville Platte,LA,30.6901,-92.2744,8829,USC00169369,0.009349332
Franklin,PA,41.3936,-79.8425,8802,USC00363028,0.013792752
Clanton,AL,32.844,-86.623,8794,USC00011694,0.033742687
Needles,CA,34.8164,-114.6189,8752,USW00023179,0.048572372
Cortez,CO,37.3505,-108.5766,8736,USC00055531,0.174333301
Princeton,IN,38.3553,-87.5784,8733,USC00127125,0.012169634
Olney,IL,38.7285,-88.0838,8732,USC00116446,0.02813222
Garden City,GA,32.0868,-81.1773,8713,USW00003822,0.051067807
Jerseyville,IL,39.1175,-90.3271,8708,USC00114489,0.021995547
Nevada,MO,37.8445,-94.3492,8699,USC00235987,0.025299012
Perryville,MO,37.7263,-89.8759,8696,USC00236641,0.044784484
Corrales,NM,35.2366,-106.6191,8696,USC00297481,0.022061732
Pleasant Hill,MO,38.8061,-94.2655,8683,USC00236745,0.003883298
Incline Village,NV,39.2639,-119.9453,8669,USC00263960,0.017042594
Mount Pleasant,IA,40.9625,-91.5452,8668,USC00135796,0.023947025
Hawthorn Woods,IL,42.2313,-88.0623,8666,USC00115961,0.028324917
Hoquiam,WA,46.9863,-123.9022,8655,USW00094225,0.031537723
Richlands,VA,37.0878,-81.808,8618,USC00447174,0.015212166
Rockland,ME,44.1274,-69.1369,8616,USC00179593,0.065707047
Alamo Heights,TX,29.4828,-98.4682,8614,USC00417947,0.01321879
Fairmount,CO,39.7931,-105.1712,8606,USC00056816,0.07372625
Farmville,VA,37.2959,-78.4002,8594,USC00442941,0.033385626
Sanatoga,PA,40.2498,-75.5886,8588,USW00054782,0.035743467
Kalifornsky,AK,60.4417,-151.1972,8581,USC00508615,0.067396217
Guntersville,AL,34.367,-86.2638,8571,USC00013575,0.07312079
Aspen,CO,39.195,-106.8369,8569,USC00050372,0.009861541
West Frankfort,IL,37.8997,-88.9301,8561,USC00119148,0.013971299
Wetumpka,AL,32.5407,-86.2052,8538,USC00018859,0.065684397
Rawlins,WY,41.7849,-107.2265,8521,USW00024057,0.038012024
Perryton,TX,36.393,-100.7976,8512,USC00416950,0.026407007
St. Johns,MI,43.0005,-84.5555,8510,USC00207280,0.010890363
Frostburg,MD,39.6506,-78.9269,8505,USC00183415,0.012883486
Sitka,AK,57.2401,-135.3153,8493,USC00508505,0.196533992
Hillsboro,TX,32.0091,-97.1151,8476,USC00414182,0.009027181
University of Virginia,VA,38.0405,-78.5163,8444,USC00441593,0.009871677
Prien,LA,30.1601,-93.2611,8437,USW00003937,0.048076608
Santa Clara,UT,37.1311,-113.6561,8417,USC00427516,0.050763176
Spring Valley Lake,CA,34.4987,-117.2683,8403,USC00049325,0.039156185
Savoy,IL,40.06,-88.2552,8401,USC00118740,0.028269816
Tecumseh,MI,42.0065,-83.945,8398,USC00208080,0.012016655
Paris,IL,39.6149,-87.6904,8394,USC00116610,0.023477649
Gaylord,MI,45.0213,-84.6803,8388,USC00203099,0.120502924
Fletcher,NC,35.4316,-82.5038,8369,USW00003812,0.034070475
Millersville,PA,40.0047,-76.3522,8359,USC00367732,0.087489762
Buckhannon,WV,38.9927,-80.2282,8351,USC00467649,0.157899335
Socorro,NM,34.0543,-106.9066,8348,USC00298387,0.023221322
Bath,ME,43.9346,-69.8346,8338,USC00170409,0.022005454
Petoskey,MI,45.365,-84.9887,8334,USC00206507,0.01423587
Tillamook,OR,45.4562,-123.8331,8328,USC00358498,0.076076803
Westwego,LA,29.9058,-90.1434,8326,USW00012930,0.017055204
Quincy,WA,47.2344,-119.8531,8313,USC00456880,0.010892516
Dalhart,TX,36.0579,-102.5123,8310,USW00093042,0.048995001
Floris,VA,38.9347,-77.4083,8291,USW00093738,0.038980289
Trinidad,CO,37.175,-104.4908,8276,USC00058429,0.005303772
Kenton,OH,40.6448,-83.6095,8276,USC00334189,0.005100402
Lake City,SC,33.8676,-79.7533,8268,USC00381241,0.119110789
Moundsville,WV,39.9221,-80.7422,8252,USC00466248,0.020900957
Denison,IA,42.016,-95.3528,8244,USC00132171,0.031433899
Lugoff,SC,34.2216,-80.6849,8243,USC00388979,0.114555009
Manhattan,IL,41.4274,-87.9805,8240,USC00115314,0.076799318
Waynesburg,PA,39.8983,-80.1855,8227,USC00369367,0.019902261
Thomson,GA,33.4666,-82.4992,8225,USC00098677,0.023386804
Chester,IL,37.9199,-89.8259,8213,USC00111491,0.018494726
Napoleon,OH,41.3978,-84.1244,8207,USC00335667,0.031401433
Oberlin,OH,41.2857,-82.2197,8199,USC00336196,0.00559017
Jefferson City,TN,36.1197,-83.4838,8194,USC00406272,0.09449582
Ellsworth,ME,44.5847,-68.4875,8180,USC00172443,0.095886287
Broadview Park,FL,26.0979,-80.2088,8169,USC00083163,0.008676981
Eaton,OH,39.7506,-84.6343,8145,USC00332485,0.017828068
Ephrata,WA,47.3122,-119.534,8136,USW00024141,0.019013285
Leesville,LA,31.1397,-93.2741,8132,USC00165266,0.034452431
Hazard,KY,37.2583,-83.1977,8118,USC00153714,0.019530489
Monument,CO,39.0735,-104.8467,8097,USC00055733,0.027626223
Alliance,NE,42.1025,-102.8766,8092,USW00024044,0.087479943
Selah,WA,46.6482,-120.539,8087,USC00457522,0.046305075
Hollymead,VA,38.1266,-78.4386,8071,USW00093736,0.019745402
Lake Carmel,NY,41.4612,-73.6681,8067,USC00301211,0.017300289
Rolling Hills Estates,CA,33.7783,-118.3509,8058,USW00003122,0.02497779
Clinton,IL,40.1468,-88.9633,8055,USC00111743,0.010204411
Decorah,IA,43.3015,-91.7844,8051,USC00132110,0.011157061
Chardon,OH,41.5803,-81.2082,8044,USC00331458,0.018226157
Menominee,MI,45.122,-87.6234,8029,USC00205382,0.016058954
Loudoun Valley Estates,VA,38.9801,-77.5082,8020,USC00448084,0.021618973
Jefferson,WI,43.0044,-88.8084,7986,USC00474108,0.011085387
Aztec,NM,36.819,-107.9826,7963,USC00290692,0.02400854
La Junta,CO,37.9792,-103.5473,7963,USC00054726,0.238448245
Quincy,FL,30.5659,-84.5857,7957,USC00087429,0.016314426
Logan,OH,39.5386,-82.4063,7930,USC00334672,0.01377534
Wytheville,VA,36.953,-81.0881,7921,USC00449301,0.031023219
Bonner Springs,KS,39.0817,-94.8776,7906,USC00140957,0.025803258
Wilmington Manor,DE,39.6858,-75.5849,7903,USW00013781,0.023664894
Grand Ledge,MI,42.7534,-84.7448,7896,USC00203306,0.019007893
Jersey Village,TX,29.8903,-95.5721,7890,USC00414327,0.047859168
Richfield,UT,38.7628,-112.0926,7888,USC00427260,0.014924373
Centerville,GA,32.6342,-83.6853,7884,USW00003813,0.063536381
Flushing,MI,43.0637,-83.8403,7880,USC00202851,0.075516952
Ashland,VA,37.7596,-77.4715,7875,USC00440327,0.014198944
Fruitvale,CO,39.0933,-108.4789,7874,USC00053486,0.052913987
Seminole,TX,32.7208,-102.6503,7871,USC00418201,0.012073939
Abingdon,VA,36.7089,-81.9713,7867,USC00440021,0.040754509
York,NE,40.8698,-97.5928,7846,USC00259513,0.045921346
Ashland,WI,46.5801,-90.8715,7843,USC00470349,0.096343656
Princeton,IL,41.3807,-89.464,7840,USC00116998,0.018976038
South Weber,UT,41.1334,-111.9392,7836,USC00429346,0.036102354
Watford City,ND,47.8028,-103.2678,7835,USC00329233,0.021323461
Crookston,MN,47.7747,-96.6062,7835,USC00211891,0.044570169
Covington,VA,37.7785,-79.9868,7832,USC00442044,0.032650893
Baldwinsville,NY,43.157,-76.3318,7822,USC00300379,0.007158911
Winters,CA,38.532,-121.9781,7820,USC00049742,0.006811755
Breckenridge,CO,39.4995,-106.0433,7818,USC00050909,0.013130975
Medina,NY,43.2197,-78.3888,7816,USC00305236,0.00733553
Kenai,AK,60.5619,-151.1985,7807,USW00026523,0.046327276
Antigo,WI,45.1413,-89.1556,7767,USC00470239,0.04666166
Forsyth,MO,36.686,-93.1016,7761,USC00236460,0.012971122
Cheraw,SC,34.6955,-79.9085,7757,USC00381588,0.027342015
Jasper,TX,30.9221,-93.9947,7750,USC00419101,0.227399758
Albion,NY,43.246,-78.1902,7738,USC00300055,0.030505234
Salem,IL,38.6279,-88.959,7730,USC00117636,0.018046509
Payette,ID,44.0788,-116.9255,7727,USC00106891,0.006224147
Creston,IA,41.0597,-94.365,7713,USC00131962,0.036389696
Clear Lake,IA,43.1346,-93.374,7711,USW00014940,0.051821734
Steele Creek,AK,64.9295,-147.3955,7704,USC00503160,0.091861472
Fort Scott,KS,37.8283,-94.7038,7697,USC00142835,0.012225416
Perry,IA,41.8387,-94.0937,7676,USC00136566,0.016814577
Webster City,IA,42.4623,-93.8167,7671,USC00138806,0.020271408
Hastings,MI,42.6498,-85.2887,7670,USC00203661,0.007736828
Wellington,KS,37.2622,-97.4282,7662,USC00148670,0.010325473
Lamar,CO,38.0739,-102.6153,7655,USW00003013,0.072201425
Etowah,NC,35.3061,-82.5902,7653,USC00316805,0.066996956
Marshfield,MO,37.3414,-92.9116,7638,USC00235307,0.073493319
Waupaca,WI,44.3506,-89.0719,7627,USC00478951,0.013066545
South Beloit,IL,42.4822,-89.0248,7624,USC00470696,0.022528802
Kula,HI,20.7706,-156.3284,7621,USC00515000,0.013977711
Milan,TN,35.9126,-88.7554,7612,USC00406012,0.034956687
Sioux Center,IA,43.0748,-96.1707,7605,USC00137700,0.026310454
Pulaski,TN,35.1933,-87.035,7597,USC00407459,0.011639815
Caribou,ME,46.8662,-67.9919,7593,USC00178965,0.304721726
Joshua Tree,CA,34.1236,-116.3128,7581,USC00044405,0.044764495
Hales Corners,WI,42.941,-88.0491,7567,USC00473391,0.019686442
McCook,NE,40.2046,-100.6214,7560,USC00255312,0.014420125
Marshall,MI,42.2617,-84.9597,7548,USC00205195,0.010365081
Mount Horeb,WI,43.006,-89.7317,7534,USC00475674,0.018597145
Big Stone Gap,VA,36.8626,-82.7769,7533,USC00440735,0.023647833
Gonzales,TX,29.5126,-97.4472,7533,USC00413624,0.104178405
Yreka,CA,41.7292,-122.6312,7518,USC00049866,0.028058569
Norwich,NY,42.5333,-75.5227,7518,USC00306085,0.021807338
Robinson,IL,39.0089,-87.7333,7513,USC00117345,0.043696339
Lowell,MI,42.9351,-85.3457,7501,USC00204944,0.00813941
Mount Shasta,CA,41.3206,-122.315,7472,USC00045983,0.002526856
Ojai,CA,34.4487,-119.2469,7470,USC00046399,0.019425756
Lander,WY,42.8313,-108.7599,7458,USW00024021,0.037424366
Palmer,AK,61.5971,-149.1147,7456,USC00506870,0.017582378
Old Town,ME,44.9491,-68.7249,7431,USW00014610,0.69943316
New London,WI,44.395,-88.7394,7430,USC00475932,0.041752687
Wauseon,OH,41.5532,-84.141,7410,USC00338822,0.035151814
Saranac Lake,NY,44.3245,-74.1314,7404,USC00305714,0.3652161
Greenville,AL,31.8437,-86.6379,7395,USC00013519,0.061037693
Tolleson,AZ,33.4484,-112.2561,7372,USC00028598,0.013269891
Montpelier,VT,44.2658,-72.5717,7372,USC00439988,0.109405027
Ponchatoula,LA,30.4402,-90.4428,7369,USC00167425,0.011060289
Pomona,NJ,39.4687,-74.5501,7363,USW00093730,0.023745252
Charles City,IA,43.0644,-92.6745,7359,USC00131402,0.004882622
Middleborough Center,MA,41.8945,-70.926,7343,USC00194711,0.021564091
Makawao,HI,20.848,-156.319,7341,USC00510999,0.014878844
Umatilla,OR,45.912,-119.3145,7321,USC00355392,0.026588719
Oak Grove,KY,36.6686,-87.4216,7320,USW00003894,0.052641654
University of California-Davis,CA,38.5374,-121.7576,7311,USC00042294,0.018668155
Ephraim,UT,39.3564,-111.5847,7308,USC00422578,0.01394421
Dahlonega,GA,34.5309,-83.9804,7294,USC00092475,0.046905117
Nebraska City,NE,40.6762,-95.8613,7292,USC00255810,0.033791271
Torrington,WY,42.0658,-104.1623,7289,USW00094053,0.005908105
Northridge,OH,39.9971,-83.777,7278,USC00337935,0.038327536
Moab,UT,38.5701,-109.5477,7278,USC00425733,0.004753294
Madison,SD,44.0062,-97.1084,7270,USC00395090,0.022502098
Stevensville,MD,38.9745,-76.3184,7267,USC00188557,0.019758796
Lihue,HI,21.9728,-159.3541,7267,USW00022536,0.017271459
Union Grove,WI,42.6863,-88.0495,7251,USC00478723,0.016413805
Bedford,VA,37.336,-79.5179,7240,USC00440551,0.01126135
Franklin,NC,35.1798,-83.3808,7238,USC00313228,0.012153847
Emmitsburg,MD,39.7051,-77.3216,7235,USC00182906,0.047076969
Willows,CA,39.5149,-122.1995,7234,USC00049699,0.105623471
Washington,IA,41.2982,-91.6928,7230,USC00138688,0.021786234
Whitinsville,MA,42.1146,-71.6688,7220,USC00195524,0.007213432
Moapa Valley,NV,36.6078,-114.4566,7213,USC00268588,0.186645439
Jackson,WI,43.3237,-88.166,7200,USC00473930,0.004606788
Knoxville,IA,41.3188,-93.1024,7199,USC00134502,0.006113101
Gunnison,CO,38.5455,-106.9225,7195,USC00053662,0.049011223
Sandston,VA,37.512,-77.3149,7188,USC00448680,0.066281973
Centerville,SC,34.5256,-82.7161,7173,USW00093846,0.028439754
Commerce,GA,34.2133,-83.473,7172,USC00092180,0.051893063
Pollock Pines,CA,38.7564,-120.5904,7156,USC00046597,0.08742065
Lawrenceville,IL,38.7264,-87.6873,7150,USC00114957,0.032396605
Nibley,UT,41.6725,-111.8454,7135,USC00425194,0.04634404
Russellville,KY,36.8393,-86.895,7109,USC00157049,0.017069856
Decatur,TX,33.2262,-97.5876,7094,USC00412334,0.004379235
Gateway,AK,61.5737,-149.2389,7076,USC00505733,0.01690562
Milton-Freewater,OR,45.9348,-118.3913,7074,USC00355593,0.019332874
South Lockport,NY,43.1377,-78.6864,7066,USC00306480,0.046076004
Woodlake,VA,37.4216,-77.6783,7064,USC00449213,0.103015803
St. Helena,CA,38.5063,-122.4682,7059,USC00047643,0.003114482
Hudson Falls,NY,43.3042,-73.5818,7056,USW00014750,0.044549273
Oak Ridge,NC,36.174,-79.9916,7049,USW00013723,0.09105407
Rochester,IN,41.059,-86.196,7046,USC00127482,0.015530937
Orange City,IA,43.0023,-96.0566,7044,USC00136273,0.003220512
Seminole,OK,35.2346,-96.65,7041,USC00348042,0.004089059
Marksville,LA,31.1247,-92.0652,7036,USC00165920,0.004104875
Kentfield,CA,37.9481,-122.5496,7020,USC00044500,0.009811218
Crete,NE,40.6254,-96.9575,7007,USC00252020,0.087021204
Zuni Pueblo,NM,35.0708,-108.8484,7001,USW00093044,0.009604686
Mendota,IL,41.5553,-89.1042,6994,USC00115562,0.034242809
Calverton,NY,40.9163,-72.7645,6987,USC00300364,0.029865527
Hillsboro,IL,39.1668,-89.4735,6984,USC00114108,0.019388476
Milltown,NJ,40.4504,-74.4351,6967,USC00286055,0.025674043
Hamilton,MT,46.2527,-114.1598,6964,USC00243885,0.010404326
Paintsville,KY,37.8167,-82.8088,6952,USC00156136,0.020619651
Sturgis,SD,44.411,-103.4975,6922,USC00393069,0.020672796
Lewisburg,WV,37.8096,-80.4327,6917,USC00465224,0.054965899
Heber Springs,AR,35.5003,-92.0332,6916,USC00033229,0.039718258
Woodland,WA,45.9145,-122.7506,6911,USC00454084,0.103396567
Freeland,MI,43.5198,-84.1124,6898,USC00207221,0.029233029
Lake Mills,WI,43.0776,-88.9054,6897,USC00474482,0.009192399
Junction City,OR,44.2067,-123.2101,6891,USW00024221,0.073797486
Ben Lomond,CA,37.0782,-122.0882,6890,USC00040673,0.011204463
Gleneagle,CO,39.0453,-104.8288,6885,USC00050756,0.031333848
Perry,FL,30.109,-83.5821,6879,USC00087025,0.013070463
King,NC,36.2766,-80.3564,6861,USC00314675,0.0093723
West Glens Falls,NY,43.3019,-73.6874,6860,USC00304537,0.15240725
Youngtown,AZ,33.5846,-112.3047,6859,USC00029634,0.010911004
Eldridge,IA,41.639,-90.5809,6846,USC00132070,0.027097797
Idabel,OK,33.9041,-94.8294,6843,USC00344451,0.029443505
Mount Vernon,IN,37.9364,-87.8959,6816,USC00126001,0.00781025
Marion,SC,34.1787,-79.3966,6804,USC00385509,0.016280663
Amory,MS,33.9813,-88.4823,6794,USC00220173,0.030888347
Columbus,WI,43.3354,-89.03,6793,USC00471790,0.022746633
Fishhook,AK,61.711,-149.2657,6788,USC00505527,0.034109383
Napili-Honokowai,HI,20.9767,-156.6646,6739,USC00513317,0.017780045
Rupert,ID,42.6189,-113.674,6733,USC00107968,0.052759736
Cherryville,NC,35.3844,-81.3781,6682,USC00314996,0.090325467
Belfast,ME,44.428,-69.0325,6679,USC00170480,0.054041632
Sandersville,GA,32.9827,-82.8089,6655,USC00097777,0.009305912
Litchfield,MN,45.1221,-94.5255,6650,USC00214778,0.010960383
Notre Dame,IN,41.7014,-86.2378,6646,USC00128437,0.010937093
Pocahontas,AR,36.2637,-90.9706,6645,USC00035820,0.002433105
Morrilton,AR,35.1558,-92.7387,6645,USC00034938,0.028584786
Mecca,CA,33.5767,-116.0645,6635,USC00045502,0.011011358
Guadalupe,AZ,33.3664,-111.9633,6631,USW00023183,0.073471644
Veneta,OR,44.0471,-123.3514,6628,USC00352867,0.018940169
North Syracuse,NY,43.1339,-76.1306,6628,USW00014771,0.035155904
Whitmore Lake,MI,42.4235,-83.7524,6618,USC00208972,0.03286883
Hillsboro,OH,39.2123,-83.6112,6616,USC00333758,0.021204245
Brewton,AL,31.1111,-87.0737,6615,USC00018637,0.144247877
Kermit,TX,31.854,-103.0924,6613,USC00414775,0.013559499
Demopolis,AL,32.498,-87.8298,6612,USC00012245,0.054531917
Hamilton,AL,34.1346,-87.9755,6606,USC00013645,0.019623537
Catasauqua,PA,40.6531,-75.4643,6599,USW00014737,0.016887643
Bethel,AK,60.7928,-161.7917,6586,USW00026615,0.038416416
Green Hill,TN,36.2349,-86.5733,6563,USC00406806,0.015825612
Blackwell,OK,36.8011,-97.3008,6562,USC00340818,0.020581761
Waikoloa Village,HI,19.9285,-155.8185,6549,USC00519142,0.022636475
Cumming,GA,34.2064,-84.1337,6547,USC00092408,0.022895414
Slippery Rock,PA,41.0695,-80.058,6541,USC00368184,0.013583078
Plaquemine,LA,30.2834,-91.2429,6539,USC00167366,0.039005641
Elkin,NC,36.2621,-80.8441,6536,USC00312740,0.021211367
De Queen,AR,34.0426,-94.342,6534,USW00053925,0.059813351
Atlantic,IA,41.3957,-95.0138,6526,USC00130364,0.023860637
Kingston,RI,41.4738,-71.5236,6513,USC00374266,0.025467823
Pratt,KS,37.6764,-98.7451,6496,USC00146549,0.031281384
Geneseo,IL,41.4508,-90.154,6495,USC00113384,0.005308484
Mulvane,KS,37.4788,-97.2724,6489,USC00143545,0.058341495
Camilla,GA,31.2337,-84.2089,6488,USC00091500,0.043821684
Lynchburg,TN,35.2846,-86.3587,6488,USC00405525,0.014389232
Buena Vista,VA,37.7319,-79.3569,6478,USC00446593,0.101126159
Prairie du Chien,WI,43.0429,-91.1373,6477,USC00476827,0.008928606
Prestonsburg,KY,37.6816,-82.7662,6473,USC00156563,0.068530942
Genoa,IL,42.0926,-88.6964,6467,USC00113392,0.021540659
Sidney,MT,47.7152,-104.168,6466,USC00247562,0.037264624
Hebron,KY,39.0626,-84.709,6461,USW00093814,0.040853115
Glendive,MT,47.1102,-104.7069,6460,USC00243581,0.011522417
Ironwood,MI,46.4522,-90.1505,6448,USC00204105,0.017855895
Emporia,VA,36.6953,-77.5356,6443,USC00442790,0.024286004
Inverness Highlands South,FL,28.8007,-82.3371,6441,USC00084289,0.024535264
Oelwein,IA,42.6715,-91.9133,6433,USC00136199,0.039156098
Carthage,TX,32.1526,-94.3368,6431,USC00411500,0.009392018
Douglas,WY,42.7541,-105.3968,6421,USW00094057,0.044964071
Eudora,KS,38.9345,-95.0957,6415,USC00142620,0.002816026
Garrett,IN,41.3526,-85.1238,6413,USC00123207,0.016492423
Burnet,TX,30.7496,-98.2383,6406,USW00003999,0.009392178
Jordan,MN,44.6652,-93.6351,6402,USC00214176,0.015108276
Rockford,MI,43.1266,-85.5582,6391,USC00207070,0.012354756
Abilene,KS,38.9229,-97.2251,6390,USC00140010,0.012748725
Crockett,TX,31.3177,-95.4564,6385,USC00412114,0.01185327
Rushville,IN,39.6172,-85.4463,6383,USC00127646,0.014717676
International Falls,MN,48.5884,-93.4083,6382,USW00014918,0.031655624
Rogersville,TN,36.4081,-83.0043,6380,USC00407884,0.022005681
Prosser,WA,46.2068,-119.7662,6380,USC00456768,0.00981835
Nephi,UT,39.7072,-111.8323,6378,USC00426135,0.004840589
Cullowhee,NC,35.3107,-83.1815,6377,USC00312200,0.0068593
Mims,FL,28.6928,-80.8468,6375,USC00088051,0.049454019
Jasper,GA,34.471,-84.4496,6374,USC00094648,0.005940539
Keyser,WV,39.4394,-78.9822,6361,USC00464840,0.029231521
Cynthiana,KY,38.386,-84.2993,6356,USC00151998,0.009823441
Galax,VA,36.6661,-80.9176,6347,USC00443272,0.011583385
Hamlet,NC,34.8891,-79.7099,6328,USC00313784,0.017736065
Jeanerette,LA,29.9157,-91.6758,6303,USC00164674,0.055754462
Delano,MN,45.0383,-93.7922,6302,USC00212088,0.017356362
El Rio,CA,34.2452,-119.1568,6297,USC00046572,0.043156112
Snyderville,UT,40.7042,-111.5438,6255,USC00427942,0.007069173
Powell,WY,44.7958,-108.7681,6253,USC00487388,0.021429419
Boonville,IN,38.0469,-87.2846,6238,USC00120852,0.01999725
East Foothills,CA,37.3827,-121.8138,6233,USC00045933,0.183340395
Chelan,WA,47.8414,-120.0263,6212,USC00451350,0.027049357
Eastman,GA,32.1973,-83.1714,6180,USC00092966,0.034530566
Pontotoc,MS,34.2532,-89.0091,6169,USC00227106,0.012475099
Eagar,AZ,34.1058,-109.2956,6164,USC00028162,0.03262591
Lanett,AL,32.8571,-85.2081,6151,USC00099291,0.037835037
North Windham,ME,43.8238,-70.4288,6131,USC00179720,0.049886471
Arlington Heights,PA,41.0039,-75.2116,6129,USC00368596,0.011766257
Fruitridge Pocket,CA,38.5326,-121.4558,6116,USW00023271,0.043783673
Sidney,NE,41.134,-102.9681,6115,USW00024030,0.039274546
Pauls Valley,OK,34.7236,-97.2291,6110,USC00346931,0.008100617
Tarrant,AL,33.5945,-86.7684,6109,USW00013876,0.037365124
Los Chaves,NM,34.7332,-106.7631,6109,USC00295150,0.03435826
Stewartville,MN,43.8605,-92.4896,6094,USC00217011,0.074983331
Alpine,TX,30.364,-103.665,6090,USC00410176,0.115971246
Ontario,OH,40.771,-82.6105,6084,USC00334874,0.012209558
Childress,TX,34.4293,-100.2516,6048,USW00023007,0.032361783
Carrizo Springs,TX,28.5266,-99.8589,6043,USC00411486,0.039832901
Barbourville,KY,36.8667,-83.885,6036,USC00150381,0.016101242
Rensselaer,IN,40.9375,-87.1684,6029,USC00127298,0.015326764
Metropolis,IL,37.1565,-88.7083,6008,USC00113120,0.012757743
Maquoketa,IA,42.0598,-90.6651,6007,USC00135131,0.017304624
Du Quoin,IL,38.0019,-89.2323,6001,USC00112483,0.04178672
Baldwin,WI,44.954,-92.3709,6000,USC00470486,0.021694469
Kingston,TN,35.8713,-84.4959,5994,USC00404871,0.035151814
Lewistown,MT,47.0514,-109.4524,5987,USW00024036,0.005130351
Naval Academy,MD,38.9859,-76.488,5970,USW00013752,0.005510898
Vail,CO,39.6386,-106.3607,5964,USC00058575,0.006946222
Gowanda,NY,42.4612,-78.9339,5945,USC00306525,0.069188583
Yoakum,TX,29.2933,-97.1469,5940,USC00419952,0.021312203
Darlington,SC,34.3015,-79.867,5940,USC00382260,0.00960833
Raton,NM,36.8849,-104.4396,5938,USC00297279,0.035223004
Goodrich,MI,42.9147,-83.5092,5935,USC00203278,0.001676305
Paradise,CA,39.7558,-121.6063,5928,USC00046685,0.017912007
Homer,AK,59.653,-151.5255,5922,USW00025507,0.036242406
Mineola,TX,32.6461,-95.4775,5919,USC00415954,0.012054045
Finderne,NJ,40.5626,-74.5743,5919,USC00280927,0.007046049
Selinsgrove,PA,40.8003,-76.8647,5902,USC00367931,0.017459668
Willard,MO,37.2929,-93.4171,5891,USW00093981,0.059607001
Slaton,TX,33.4421,-101.6476,5890,USC00418373,0.005308484
Luling,TX,29.6814,-97.6468,5869,USC00415429,0.012394354
Margate City,NJ,39.3307,-74.5071,5865,USC00285243,0.007826238
Dowagiac,MI,41.9834,-86.1126,5864,USC00202250,0.019524344
Paulsboro,NJ,39.84,-75.2397,5854,USW00013739,0.035670432
Littlefield,TX,33.9191,-102.3349,5843,USC00415265,0.090666973
Hartwell,GA,34.3496,-82.9289,5841,USC00094133,0.002503058
Chelsea,MI,42.3132,-84.0188,5837,USC00201502,0.014207744
Hellertown,PA,40.5811,-75.3378,5831,USC00368400,0.060531727
Berne,IN,40.6572,-84.9555,5830,USC00120676,0.027811149
Brownfields,LA,30.5467,-91.1225,5772,USW00013970,0.025881084
Brush,CO,40.2598,-103.6323,5769,USC00059213,0.195765676
