city,state_id,latitude,longitude,population,station,distance
Columbia,MO,38.9478,-92.3256,141645,USC00231801,0.007447315
Athens,GA,33.9508,-83.3689,141532,USW00013873,0.041653289
Pasadena,CA,34.1597,-118.139,141029,USC00046719,0.012745587
Grand Junction,CO,39.0876,-108.5673,139143,USW00023066,0.053750842
Charleston,WV,38.3484,-81.6323,138706,USW00013866,0.051604287
Harlingen,TX,26.1917,-97.6976,136037,USC00413943,0.027221499
Yakima,WA,46.5923,-120.5496,133191,USW00024243,0.031917093
Kent,WA,47.3887,-122.2129,132319,USC00454169,0.041772988
Bellingham,WA,48.7543,-122.4687,130641,USC00450587,0.056163333
Santa Clara,CA,37.3645,-121.968,130365,USW00023293,0.043859868
Racine,WI,42.7274,-87.8135,130142,USC00476922,0.037030103
Greenville,NC,35.5956,-77.3768,130118,USC00313638,0.049375297
Stamford,CT,41.1035,-73.5583,129638,USC00067970,0.023792436
Elizabeth,NJ,40.6657,-74.1912,129216,USW00014734,0.027778182
Fort Smith,AR,35.3493,-94.3695,125354,USW00013964,0.016397658
Kenosha,WI,42.5864,-87.8765,124972,USC00474174,0.066090998
Boulder,CO,40.0249,-105.2523,124345,USC00050848,0.036005
Berkeley,CA,37.8723,-122.276,121363,USC00040693,0.015641611
Richardson,TX,32.9717,-96.7093,121323,USC00417588,0.041481562
Billings,MT,45.7891,-108.5524,120728,USW00024033,0.019148381
Kingsport,TN,36.5224,-82.5453,119666,USC00404858,0.018051039
Rock Hill,SC,34.9416,-81.0244,119105,USC00389350,0.013544002
Gilroy,CA,37.0047,-121.5855,118993,USC00043417,0.024758433
Sugar Land,TX,29.5935,-95.6357,118488,USW00012977,0.034078329
Iowa City,IA,41.6559,-91.5303,118041,USC00134101,0.052977354
Saginaw,MI,43.4199,-83.9501,117958,USC00207222,0.00976166
Chico,CA,39.7575,-121.8152,117668,USC00041715,0.066661608
Coeur d'Alene,ID,47.7041,-116.7935,116834,USC00101956,0.022231509
Bloomington,IN,39.1637,-86.5257,115884,USC00120784,0.011346365
North Charleston,SC,32.9066,-80.0722,115382,USW00013880,0.032301277
Waterloo,IA,42.492,-92.3522,111631,USC00138707,0.02908659
Everett,WA,47.9525,-122.1669,111475,USC00452675,0.0361234
El Centro,CA,32.7867,-115.5586,111425,USC00042713,0.020041208
Santa Fe,NM,35.6619,-105.9819,111269,USC00298085,0.043009418
Lowell,MA,42.6389,-71.3217,110997,USC00194313,0.042047592
Miami Gardens,FL,25.9433,-80.2426,110001,USC00086315,0.027624808
Bend,OR,44.0562,-121.3087,109802,USC00350694,0.023710335
Lewisville,TX,33.0452,-96.9823,109212,USC00415192,0.036332492
League City,TX,29.4873,-95.1087,107536,USC00414333,0.029841247
Eau Claire,WI,44.8199,-91.4949,107404,USW00014991,0.047134549
Turlock,CA,37.5053,-120.8588,107317,USC00049073,0.013565268
Salisbury,MD,38.3756,-75.5867,106447,USC00188004,0.033159312
Sparks,NV,39.5729,-119.7157,105006,USC00267697,0.024539152
Burbank,CA,34.1879,-118.3235,102511,USC00041194,0.024534466
Longmont,CO,40.1686,-105.1005,102474,USC00055116,0.023120779
Vista,CA,33.1896,-117.2386,101638,USC00049378,0.046245
Logan,UT,41.74,-111.8419,101616,USC00425182,0.015319328
Vacaville,CA,38.359,-121.968,101444,USW00093241,0.020805108
Edinburg,TX,26.3197,-98.1596,101170,USC00412758,0.021801376
Carmel,IN,39.965,-86.146,101068,USC00121303,0.087562206
San Angelo,TX,31.4424,-100.4506,101004,USC00417944,0.083867177
La Crosse,WI,43.824,-91.2268,100693,USC00474373,0.035331855
Idaho Falls,ID,43.4872,-112.0362,100442,USW00024145,0.045677856
Longview,TX,32.5193,-94.7621,100330,USC00415344,0.043311546
Tracy,CA,37.7269,-121.4522,100049,USC00048999,0.114788327
Beaverton,OR,45.4779,-122.8168,99037,USC00355945,0.030245165
Lawrence,KS,38.9597,-95.2641,98648,USW00003997,0.071269966
Bismarck,ND,46.8144,-100.7694,98345,USW00024011,0.034209075
Middletown,OH,39.5032,-84.366,97730,USC00335220,0.043076908
Brockton,MA,42.0821,-71.0242,95708,USC00190860,0.038070089
Bowling Green,KY,36.9719,-86.4373,95135,USC00150916,0.06871317
Dover,NH,43.1887,-70.8845,94563,USC00272174,0.080522419
Edmond,OK,35.6689,-97.4159,94054,USC00342788,0.063425547
