Oildale,CA,35.4249,-119.0279,34763,BFL,0.031508262
Pullman,WA,46.734,-117.1669,34506,PUW,0.053746706
Redmond,OR,44.2631,-121.1798,34240,RDM,0.02147494
Butte,MT,45.902,-112.6571,34207,BTM,0.163781168
Laramie,WY,41.3099,-105.6085,33929,LAR,0.063055043
Greer,SC,34.9313,-82.2315,33373,GSP,0.038165794
Dania Beach,FL,26.0594,-80.1637,32271,FLL,0.019789184
Juneau,AK,58.4546,-134.1739,31974,JNU,0.42052906
Key West,FL,24.5637,-81.7768,31401,EYW,0.024020288
Kahului,HI,20.8715,-156.4603,31336,OGG,0.033472336
Goleta,CA,34.436,-119.8596,30911,SBA,0.021593861
Williston,ND,48.1814,-103.6364,29844,XWA,0.130116098
Maryville,TN,35.7468,-83.9789,29742,TYS,0.065763935
SeaTac,WA,47.4444,-122.2986,29044,SEA,0.011772774
Harrison,NY,41.0233,-73.7192,28943,HPN,0.046248581
Morrisville,NC,35.8367,-78.8348,28846,RDU,0.063814763
Plattsburgh,NY,44.6951,-73.4563,28740,PBG,0.044581373
Agawam,MA,42.0657,-72.6526,28613,BDL,0.131158757
Burbank,IL,41.7444,-87.7686,28289,MDW,0.045442904
Monterey,CA,36.5922,-121.8807,28178,MRY,0.034836406
Windsor,CA,38.5417,-122.8086,27128,STS,0.031494458
Lebanon,NH,43.6353,-72.2531,26666,LEB,0.056497962
Pearl,MS,32.273,-90.0918,26510,JAN,0.042134922
Marquette,MI,46.544,-87.4082,26491,MQT,0.195374261
Rock Springs,WY,41.5951,-109.2238,25913,RKS,0.151957473
Holbrook,NY,40.7944,-73.0707,25824,ISP,0.028084708
Green,OH,40.9483,-81.4757,25752,CAK,0.047380661
Pooler,GA,32.1043,-81.2568,25694,SAV,0.060420384
South Portland,ME,43.631,-70.2895,25532,PWM,0.025446393
Palm Springs,FL,26.6349,-80.0968,25216,PBI,0.051003299
Scottsbluff,NE,41.8684,-103.6616,25114,BFF,0.068990282
University Park,TX,32.8506,-96.7937,24985,DAL,0.05756049
Fajardo,PR,18.333,-65.6592,24950,CPX,0.355902729
Norton Shores,MI,43.1621,-86.2519,24664,MKG,0.014114532
Cataño,PR,18.4415,-66.1388,24271,SIG,0.043266259
Waverly,MI,42.7401,-84.6353,24201,LAN,0.057082428
North Platte,NE,41.1266,-100.764,24098,LBF,0.066327312
Coronado,CA,32.664,-117.16,23731,SAN,0.07733865
Romulus,MI,42.2237,-83.366,23573,ALW,0.012985998
Fort Hood,TX,31.1345,-97.7797,23508,GRK,0.08413949
Montrose,CO,38.469,-107.859,23478,GUC,0.925908795
Dickinson,ND,46.8917,-102.7924,23133,DIK,0.090034903
Millbrae,CA,37.5994,-122.4023,22394,SFO,0.032017894
Augusta,ME,44.3341,-69.7319,22116,RKD,0.693306271
McNair,VA,38.9513,-77.4116,21485,IAD,0.044975486
Hays,KS,38.8815,-99.3218,21421,HYS,0.055376958
