01/01/2022,Mc Carran International,KLAS,LAS,2022-01-01T23:51:00+00:00,Miami International Airport,KMIA,MIA,British Airways,BAW,5330,BA5330,BAW5330,36.0839998,-115.1537389,Las Vegas
01/01/2022,Orlando International,KMCO,MCO,2022-01-01T22:42:00+00:00,George Bush Intercontinental,KIAH,IAH,Spirit Airlines,NKS,8104,NK8104,NKS8104,28.4179167,-81.3041451,Southeast Orlando
01/01/2022,Bob Hope,KBUR,BUR,2022-01-01T20:23:00+00:00,San Diego International Airport,KSAN,SAN,empty,,,,,34.1949582,-118.3518845,Los Angeles County
01/01/2022,Wilmington International,KILM,ILM,,Westchester County Apt,KHPN,HPN,Flexjet,LXJ,413,LXJ413,LXJ413,34.2669541,-77.9105092,Wilmington
01/01/2022,Richmond International Airport,KRIC,RIC,2022-01-02T00:54:00+00:00,Lambert-St. Louis International,KSTL,STL,United Airlines,UAL,4556,UA4556,UAL4556,37.5065795,-77.3208112,Richmond
01/01/2022,Newark Liberty International,KEWR,EWR,,Port Columbus International,KCMH,CMH,Lufthansa,DLH,7662,LH7662,DLH7662,40.6895314,-74.1744624,Newark
01/01/2022,Norfolk International Airport,KORF,ORF,,Baltimore/Washington International Thurgood Marshall,KBWI,BWI,Southwest Airlines,SWA,2922,WN2922,SWA2922,36.8956837,-76.2000161,Norfolk
01/01/2022,Walker Field,KGJT,GJT,2022-01-01T16:28:00+00:00,Westchester County Apt,KHPN,HPN,XOJET,XOJ,793,XOJ793,XOJ793,39.1222307,-108.5291468,Grand Junction
01/01/2022,Logan International,KBOS,BOS,2022-01-01T20:58:00+00:00,Hartsfield-jackson Atlanta International,KATL,ATL,American Airlines,AAL,9257,AA9257,AAL9257,42.3656132,-71.0095602,Massachusetts
01/01/2022,Reno-Tahoe International,KRNO,RNO,2022-01-01T23:46:00+00:00,John F Kennedy International,KJFK,JFK,American Airlines,AAL,9120,AA9120,AAL9120,39.4995907,-119.7680951,Reno
01/01/2022,Grand Forks,KGFK,GFK,,Bemidji,KBJI,BJI,empty,,,,,47.942861,-97.176582,Grand Forks
01/01/2022,Rapid City Regional Airport,KRAP,RAP,,Joe Foss Field Airport,KFSD,FSD,Alpine Air Express,AIP,5404,5A5404,AIP5404,44.0383798,-103.0605163,Rapid City
01/01/2022,Louis Armstrong New Orléans International Airport,KMSY,MSY,,Love Field,KDAL,DAL,empty,,,,,29.9910905,-90.2592299,Kenner
01/01/2022,Colorado Springs,KCOS,COS,,Chicago O'hare International,KORD,ORD,United Airlines,UAL,2756,UA2756,UAL2756,38.801712,-104.7026039,Colorado Springs
01/01/2022,"Charleston, AFB Municipal",KCHS,CHS,,Raleigh-durham International Airport,KRDU,RDU,empty,,,,,32.8942676,-80.038159,North Charleston
01/01/2022,Pitt-Greenville,KPGV,PGV,,Raleigh-durham International Airport,KRDU,RDU,empty,,,,,35.6338958,-77.3812179,Greenville
01/01/2022,Kenai,PAEN,ENA,,Ted Stevens Anchorage International Airport,PANC,ANC,Grant Aviation,GUN,6210,GV6210,GUN6210,60.56501,-151.2467651,Kenai
01/01/2022,Lee Bird Field,KLBF,LBF,2022-01-01T23:57:00+00:00,Colorado Springs,KCOS,COS,empty,,,,,41.1326828,-100.6979522,East Lee Bird Drive
01/01/2022,General Mitchell International,KMKE,MKE,2022-01-01T23:54:00+00:00,Melbourne International Airport,KMLB,MLB,Kalitta Charters,KFS,32,K932,KFS32,42.9475534,-87.896646,Milwaukee
01/01/2022,Bradley International,KBDL,BDL,,New Haven,KHVN,HVN,Avelo Airlines,VXP,9501,XP9501,VXP9501,41.9388735,-72.6860314,Hartford County
01/01/2022,Boeing Field/King County International Airport,KBFI,BFI,2022-01-01T21:16:00+00:00,Gallatin Field,KBZN,BZN,NetJets Aviation,EJA,306,1I306,EJA306,47.5369043,-122.3038555,Seattle
01/01/2022,Stockton Metropolitan Airport,KSCK,SCK,2022-01-01T23:33:00+00:00,Cincinnati/Northern Kentucky,KCVG,CVG,Atlas Air,GTI,7707,5Y7707,GTI7707,37.8968929,-121.2514811,Stockton
