city,state_id,state_name,latitude,longitude,population
Beebe,AR,Arkansas,35.0712,-91.8996,8168
Milliken,CO,Colorado,40.3115,-104.8561,8164
Black Mountain,NC,North Carolina,35.6142,-82.3275,8162
Crestwood Village,NJ,New Jersey,39.9568,-74.3524,8155
Meadow Lakes,AK,Alaska,61.638,-149.608,8149
Center Moriches,NY,New York,40.8015,-72.796,8147
Port Jefferson,NY,New York,40.9465,-73.0579,8145
Middleport,OH,Ohio,38.9948,-82.0643,8145
Eaton,OH,Ohio,39.7506,-84.6343,8145
Tuskegee,AL,Alabama,32.4395,-85.7139,8142
South San Gabriel,CA,California,34.0489,-118.0961,8138
Ephrata,WA,Washington,47.3122,-119.534,8136
Rockwood,VA,Virginia,37.463,-77.5744,8136
Leesville,LA,Louisiana,31.1397,-93.2741,8132
Oradell,NJ,New Jersey,40.9562,-74.0314,8131
Minnetrista,MN,Minnesota,44.9356,-93.7103,8130
Gering,NE,Nebraska,41.8275,-103.6649,8128
Harrison,TN,Tennessee,35.1276,-85.1464,8121
Hazard,KY,Kentucky,37.2583,-83.1977,8118
Summit Park,UT,Utah,40.7432,-111.5814,8118
Cherry Valley,CA,California,33.9797,-116.9694,8115
Omak,WA,Washington,48.4228,-119.5159,8114
Vandenberg Village,CA,California,34.7111,-120.4623,8114
West Dundee,IL,Illinois,42.0985,-88.3073,8113
Blandon,PA,Pennsylvania,40.4446,-75.8799,8111
Duvall,WA,Washington,47.7354,-121.9726,8107
Vinton,VA,Virginia,37.2746,-79.8887,8104
Joshua,TX,Texas,32.458,-97.3849,8101
Oak Hill,WV,West Virginia,37.9844,-81.1277,8098
Monument,CO,Colorado,39.0735,-104.8467,8097
Croton-on-Hudson,NY,New York,41.2005,-73.9002,8095
Bellevue,OH,Ohio,41.2743,-82.8394,8094
Briarcliff Manor,NY,New York,41.14,-73.844,8094
Mount Rainier,MD,Maryland,38.9423,-76.9645,8093
Alliance,NE,Nebraska,42.1025,-102.8766,8092
Maplewood,MO,Missouri,38.6121,-90.324,8092
Wickenburg,AZ,Arizona,33.9837,-112.7668,8092
Selah,WA,Washington,46.6482,-120.539,8087
Shorewood,MN,Minnesota,44.9033,-93.5903,8084
Helena Valley West Central,MT,Montana,46.6634,-112.0604,8082
Applewood,CO,Colorado,39.7524,-105.1605,8081
Kronenwetter,WI,Wisconsin,44.8164,-89.5807,8079
Gilberts,IL,Illinois,42.1096,-88.3716,8076
Bargersville,IN,Indiana,39.5412,-86.2004,8076
Hampton,GA,Georgia,33.3835,-84.2855,8073
Sudden Valley,WA,Washington,48.7199,-122.3468,8072
Hollymead,VA,Virginia,38.1266,-78.4386,8071
Rockmart,GA,Georgia,34.0103,-85.0441,8071
Lake Carmel,NY,New York,41.4612,-73.6681,8067
Lockwood,MT,Montana,45.8199,-108.4072,8066
Wyoming,MN,Minnesota,45.3365,-92.9766,8066
Lake Dallas,TX,Texas,33.1277,-97.0234,8063
Bloomingdale,NJ,New Jersey,41.03,-74.3319,8061
Rolling Hills Estates,CA,California,33.7783,-118.3509,8058
North Bay Village,FL,Florida,25.8487,-80.1535,8057
South Cleveland,TN,Tennessee,35.1097,-84.9097,8056
Willits,CA,California,39.4047,-123.3494,8055
Clinton,IL,Illinois,40.1468,-88.9633,8055
Skiatook,OK,Oklahoma,36.3694,-95.9819,8052
Decorah,IA,Iowa,43.3015,-91.7844,8051
Brookhaven,PA,Pennsylvania,39.8715,-75.3918,8049
Diamondhead,MS,Mississippi,30.3791,-89.3708,8048
Conshohocken,PA,Pennsylvania,40.0772,-75.3035,8047
Floresville,TX,Texas,29.14,-98.163,8045
Ripley,TN,Tennessee,35.7449,-89.5358,8045
Chardon,OH,Ohio,41.5803,-81.2082,8044
Morehead,KY,Kentucky,38.1906,-83.4467,8044
Ripon,WI,Wisconsin,43.8436,-88.8387,8040
Odessa,FL,Florida,28.182,-82.553,8036
Bellevue,PA,Pennsylvania,40.4945,-80.055,8036
Mayo,MD,Maryland,38.9041,-76.518,8031
Northfield,NJ,New Jersey,39.3718,-74.5543,8031
Menominee,MI,Michigan,45.122,-87.6234,8029
Pleasant Hills,PA,Pennsylvania,40.3298,-79.9596,8026
Pahokee,FL,Florida,26.8202,-80.662,8025
Ahuimanu,HI,Hawaii,21.4379,-157.8404,8023
Crete,IL,Illinois,41.44,-87.6236,8023
Loudoun Valley Estates,VA,Virginia,38.9801,-77.5082,8020
Chestnut Ridge,NY,New York,41.0829,-74.0551,8020
Laurel Hill,VA,Virginia,38.7026,-77.2422,8020
Island Lake,IL,Illinois,42.2783,-88.1999,8020
Oak Brook,IL,Illinois,41.8372,-87.9513,8016
Seaford,DE,Delaware,38.6538,-75.611,8013
