City,IATA,ICAO,Name
San Francisco,SFO,KSFO,San Francisco International Airport
San Jose,SJC,KSJC,Norman Y. Mineta San José International Airport
San Luis Obispo,SBP,KSBP,San Luis Obispo County Regional Airport (McChesney Field)
Santa Barbara,SBA,KSBA,Santa Barbara Municipal Airport (Santa Barbara Airport)
Santa Maria,SMX,KSMX,Santa Maria Public Airport (Capt G. Allan Hancock Field)
Santa Rosa,STS,KSTS,Charles M. Schulz–Sonoma County Airport
Stockton,SCK,KSCK,Stockton Metropolitan Airport
Aspen,ASE,KASE,Aspen/Pitkin County Airport (Sardy Field)
Colorado Springs,COS,KCOS,City of Colorado Springs Municipal Airport
Denver,DEN,KDEN,Denver International Airport
Durango,DRO,KDRO,Durango–La Plata County Airport
Eagle/Vail,EGE,KEGE,Eagle County Regional Airport
Grand Junction,GJT,KGJT,Grand Junction Regional Airport (Walker Field)
Gunnison,GUC,KGUC,Gunnison–Crested Butte Regional Airport
Hayden,HDN,KHDN,Yampa Valley Airport (Yampa Valley Regional)
Montrose,MTJ,KMTJ,Montrose Regional Airport
Pueblo,PUB,KPUB,Pueblo Memorial Airport
Hartford,BDL,KBDL,Bradley International Airport
New Haven,HVN,KHVN,Tweed-New Haven Airport
Daytona Beach,DAB,KDAB,Daytona Beach International Airport
Fort Lauderdale,FLL,KFLL,Fort Lauderdale–Hollywood International Airport
Fort Myers,RSW,KRSW,Southwest Florida International Airport
Fort Walton Beach,VPS,KVPS,Destin–Fort Walton Beach Airport / Eglin Air Force Base
Gainesville,GNV,KGNV,Gainesville Regional Airport
Jacksonville,JAX,KJAX,Jacksonville International Airport
Key West,EYW,KEYW,Key West International Airport
Melbourne,MLB,KMLB,Melbourne Orlando International Airport
Miami,MIA,KMIA,Miami International Airport
Orlando,MCO,KMCO,Orlando International Airport
Panama City,ECP,KECP,Northwest Florida Beaches International Airport
Pensacola,PNS,KPNS,Pensacola International Airport
Punta Gorda,PGD,KPGD,Punta Gorda Airport
Sanford,SFB,KSFB,Orlando Sanford International Airport
Sarasota,SRQ,KSRQ,Sarasota–Bradenton International Airport
St. Petersburg,PIE,KPIE,St. Pete–Clearwater International Airport
Tallahassee,TLH,KTLH,Tallahassee International Airport
Tampa,TPA,KTPA,Tampa International Airport
Vero Beach,VRB,KVRB,Vero Beach Regional Airport
West Palm Beach,PBI,KPBI,Palm Beach International Airport
Albany,ABY,KABY,Southwest Georgia Regional Airport
Atlanta,ATL,KATL,Hartsfield–Jackson Atlanta International Airport
Augusta,AGS,KAGS,Augusta Regional Airport (Bush Field)
Brunswick,BQK,KBQK,Brunswick Golden Isles Airport
Columbus,CSG,KCSG,Columbus Airport
Macon,MCN,KMCN,Middle Georgia Regional Airport
Savannah,SAV,KSAV,Savannah/Hilton Head International Airport
Valdosta,VLD,KVLD,Valdosta Regional Airport
"Hilo, Hawaii",ITO,PHTO,Hilo International Airport
"Honolulu, Oahu",HNL,PHNL,Daniel K. Inouye International Airport
"Kahului, Maui",OGG,PHOG,Kahului Airport
"Kailua-Kona, Hawaii",KOA,PHKO,Ellison Onizuka Kona International Airport at Keahole
"Kaunakakai, Molokai",MKK,PHMK,Molokai Airport (Hoolehua Airport)
"Lanai City, Lanai",LNY,PHNY,Lanai Airport
"Lihue, Kauai",LIH,PHLI,Lihue Airport
Boise,BOI,KBOI,Boise Airport (Boise Air Terminal) (Gowen Field)
Hailey / Sun Valley,SUN,KSUN,Friedman Memorial Airport
Idaho Falls,IDA,KIDA,Idaho Falls Regional Airport (Fanning Field)
Lewiston,LWS,KLWS,Lewiston–Nez Perce County Airport
Pocatello,PIH,KPIH,Pocatello Regional Airport
Twin Falls,TWF,KTWF,Magic Valley Regional Airport (Joslin Field)
Belleville,BLV,KBLV,MidAmerica St. Louis Airport / Scott Air Force Base
Bloomington / Normal,BMI,KBMI,Central Illinois Regional Airport at Bloomington-Normal
Champaign / Urbana / Savoy,CMI,KCMI,University of Illinois - Willard Airport
Chicago,MDW,KMDW,Chicago Midway International Airport
Chicago,ORD,KORD,Chicago O'Hare International Airport
Marion,MWA,KMWA,Veterans Airport of Southern Illinois (Williamson County Regional Airport)
Moline,MLI,KMLI,Quad City International Airport
Peoria,PIA,KPIA,General Downing-Peoria International Airport
Quincy,UIN,KUIN,Quincy Regional Airport (Baldwin Field)
Rockford,RFD,KRFD,Chicago Rockford International Airport (was Northwest Chicagoland Regional Airport at Rockford)
Springfield,SPI,KSPI,Abraham Lincoln Capital Airport
Evansville,EVV,KEVV,Evansville Regional Airport
Fort Wayne,FWA,KFWA,Fort Wayne International Airport
Indianapolis,IND,KIND,Indianapolis International Airport
South Bend,SBN,KSBN,South Bend International Airport
Cedar Rapids,CID,KCID,The Eastern Iowa Airport
Des Moines,DSM,KDSM,Des Moines International Airport
Dubuque,DBQ,KDBQ,Dubuque Regional Airport
Sioux City,SUX,KSUX,Sioux Gateway Airport (Brig. General Bud Day Field)
Waterloo,ALO,KALO,Waterloo Regional Airport
Garden City,GCK,KGCK,Garden City Regional Airport
Hays,HYS,KHYS,Hays Regional Airport
Manhattan,MHK,KMHK,Manhattan Regional Airport
Salina,SLN,KSLN,Salina Regional Airport
Wichita,ICT,KICT,Wichita Dwight D. Eisenhower National Airport (was Wichita Mid-Continent Airport)
Cincinnati/Covington,CVG,KCVG,Cincinnati/Northern Kentucky International Airport
Lexington,LEX,KLEX,Blue Grass Airport
Louisville,SDF,KSDF,Louisville International Airport (Standiford Field)
Owensboro,OWB,KOWB,Owensboro–Daviess County Regional Airport
Paducah,PAH,KPAH,Barkley Regional Airport
Alexandria,AEX,KAEX,Alexandria International Airport
Baton Rouge,BTR,KBTR,Baton Rouge Metropolitan Airport (Ryan Field)
Lafayette,LFT,KLFT,Lafayette Regional Airport (Paul Fournet Field)
Lake Charles,LCH,KLCH,Lake Charles Regional Airport
Monroe,MLU,KMLU,Monroe Regional Airport
New Orleans,MSY,KMSY,Louis Armstrong New Orleans International Airport
Shreveport,SHV,KSHV,Shreveport Regional Airport
